Date,Low,Open,Volume,High,Close,Adjusted Close
10-07-2006,0.6785789728164673,0.6785789728164673,2209.0,0.6785789728164673,0.6785789728164673,0.6785789728164673
11-07-2006,,,,,,
12-07-2006,,,,,,
13-07-2006,,,,,,
14-07-2006,,,,,,
17-07-2006,,,,,,
18-07-2006,,,,,,
19-07-2006,,,,,,
20-07-2006,,,,,,
21-07-2006,,,,,,
24-07-2006,,,,,,
25-07-2006,,,,,,
26-07-2006,,,,,,
27-07-2006,,,,,,
28-07-2006,,,,,,
31-07-2006,,,,,,
01-08-2006,,,,,,
02-08-2006,,,,,,
03-08-2006,,,,,,
04-08-2006,,,,,,
07-08-2006,,,,,,
08-08-2006,,,,,,
09-08-2006,,,,,,
10-08-2006,,,,,,
11-08-2006,,,,,,
14-08-2006,,,,,,
15-08-2006,,,,,,
16-08-2006,,,,,,
17-08-2006,0.33928900957107544,0.33928900957107544,6630.0,0.33928900957107544,0.33928900957107544,0.33928900957107544
18-08-2006,,,,,,
21-08-2006,0.22619299590587616,0.22619299590587616,4421.0,0.22619299590587616,0.22619299590587616,0.22619299590587616
22-08-2006,,,,,,
23-08-2006,,,,,,
24-08-2006,,,,,,
25-08-2006,,,,,,
28-08-2006,,,,,,
29-08-2006,,,,,,
30-08-2006,,,,,,
31-08-2006,,,,,,
01-09-2006,,,,,,
05-09-2006,,,,,,
06-09-2006,,,,,,
07-09-2006,,,,,,
08-09-2006,,,,,,
11-09-2006,,,,,,
12-09-2006,,,,,,
13-09-2006,,,,,,
14-09-2006,,,,,,
15-09-2006,,,,,,
18-09-2006,,,,,,
19-09-2006,,,,,,
20-09-2006,,,,,,
21-09-2006,,,,,,
22-09-2006,,,,,,
25-09-2006,,,,,,
26-09-2006,,,,,,
27-09-2006,,,,,,
28-09-2006,,,,,,
29-09-2006,,,,,,
02-10-2006,,,,,,
03-10-2006,,,,,,
04-10-2006,,,,,,
05-10-2006,,,,,,
06-10-2006,,,,,,
09-10-2006,,,,,,
10-10-2006,,,,,,
11-10-2006,,,,,,
12-10-2006,,,,,,
13-10-2006,,,,,,
16-10-2006,,,,,,
17-10-2006,,,,,,
18-10-2006,,,,,,
19-10-2006,,,,,,
20-10-2006,,,,,,
23-10-2006,,,,,,
24-10-2006,,,,,,
25-10-2006,,,,,,
26-10-2006,,,,,,
27-10-2006,,,,,,
30-10-2006,,,,,,
31-10-2006,,,,,,
01-11-2006,,,,,,
02-11-2006,,,,,,
03-11-2006,,,,,,
06-11-2006,,,,,,
07-11-2006,,,,,,
08-11-2006,,,,,,
09-11-2006,,,,,,
10-11-2006,,,,,,
13-11-2006,,,,,,
14-11-2006,,,,,,
