Date,Low,Open,Volume,High,Close,Adjusted Close
07-10-1998,30.0,30.25,1116000,31.125,30.375,10.744576454162598
08-10-1998,29.1875,30.0,636200,30.5,30.5,10.78879451751709
09-10-1998,29.5,30.125,678100,30.1875,29.9375,10.589821815490723
12-10-1998,28.875,29.625,178700,29.625,29.1875,10.324522972106934
13-10-1998,29.875,29.875,397300,30.625,30.4375,10.766684532165527
14-10-1998,31.0,31.375,458700,31.5,31.5,11.142526626586914
15-10-1998,32.5,32.625,422100,33.5,33.4375,11.827877044677734
16-10-1998,33.625,35.0,321600,35.25,33.875,11.982635498046875
19-10-1998,34.375,34.75,880200,35.625,35.3125,12.491124153137207
20-10-1998,33.625,34.3125,222400,34.5,33.875,11.982635498046875
21-10-1998,32.0,32.625,59100,32.6875,32.5625,11.518363952636719
22-10-1998,33.0,33.25,348100,33.5,33.375,11.805768966674805
23-10-1998,33.875,33.875,294300,34.25,34.0625,12.04896068572998
26-10-1998,32.375,33.625,84700,33.75,32.5,11.496256828308105
27-10-1998,32.125,32.5,111900,32.625,32.125,11.363609313964844
28-10-1998,32.125,32.5,147800,32.625,32.125,11.363609313964844
29-10-1998,33.5,33.875,224100,33.875,33.875,11.982635498046875
30-10-1998,33.5,34.0,345500,34.0,33.625,11.894201278686523
02-11-1998,34.875,35.0625,251300,36.0,35.0,12.38058090209961
03-11-1998,34.875,34.875,86300,35.0,34.9375,12.358475685119629
04-11-1998,34.0,34.8125,94600,34.8125,34.25,12.11528205871582
05-11-1998,35.0,35.25,408400,36.0,35.0625,12.402688026428223
06-11-1998,35.8125,36.0,12400,36.1875,35.9375,12.712204933166504
09-11-1998,35.0,35.875,108000,35.875,35.1875,12.446905136108398
10-11-1998,33.375,33.75,23400,33.875,33.75,11.9384183883667
11-11-1998,33.75,34.25,8400,34.25,33.75,11.9384183883667
12-11-1998,33.8125,33.8125,17800,35.5,35.375,12.51323127746582
13-11-1998,33.8125,34.0,11200,34.0625,34.0625,12.04896068572998
16-11-1998,34.625,34.625,33000,35.0625,35.0,12.38058090209961
17-11-1998,34.5,34.9375,15500,35.375,35.375,12.51323127746582
18-11-1998,33.875,34.125,12200,34.25,34.125,12.071067810058594
19-11-1998,33.6875,33.875,15300,34.25,34.25,12.11528205871582
20-11-1998,34.4375,34.9375,20800,34.9375,34.6875,12.270038604736328
23-11-1998,34.0,34.0,3900,34.25,34.0625,12.04896068572998
24-11-1998,33.375,33.5,11800,34.25,34.0625,12.04896068572998
25-11-1998,33.75,33.9375,19300,34.25,33.765625,11.943946838378906
27-11-1998,33.0,33.375,42100,33.625,33.375,11.805768966674805
30-11-1998,33.75,34.0,53400,34.125,33.75,11.9384183883667
01-12-1998,33.375,33.8125,48300,34.625,34.625,12.247931480407715
02-12-1998,33.5,33.75,16300,34.0,34.0,12.026848793029785
03-12-1998,35.375,35.375,34000,35.75,35.5625,12.579556465148926
04-12-1998,35.3125,35.375,11400,36.0,36.0,12.73431396484375
07-12-1998,34.375,34.375,14200,35.375,35.1875,12.446905136108398
08-12-1998,35.5,35.6875,45400,36.0,35.5,12.55744743347168
09-12-1998,36.25,36.8125,36000,36.8125,36.375,12.866961479187012
10-12-1998,36.4375,36.625,5200,37.0,36.9375,13.065936088562012
11-12-1998,37.875,38.0,62500,38.5,38.0625,13.463882446289062
14-12-1998,37.5,38.125,30400,38.3125,37.5,13.264910697937012
15-12-1998,39.3125,39.625,27300,39.6875,39.5,13.972372055053711
16-12-1998,39.4375,39.5,15000,41.0,40.75,14.414533615112305
17-12-1998,41.890625,42.5,55000,42.875,42.75,15.12199878692627
18-12-1998,41.1875,43.0,7800,43.0,41.5,14.679835319519043
21-12-1998,42.625,43.0,13200,43.375,43.125,15.254648208618164
22-12-1998,42.75,43.25,6300,43.5,43.1875,15.276754379272461
23-12-1998,41.75,42.3125,6000,42.625,42.4375,15.011453628540039
24-12-1998,42.5,42.6875,3000,43.0,42.75,15.12199878692627
28-12-1998,42.0,42.5,3100,42.75,42.5,15.033565521240234
29-12-1998,41.375,42.0,8200,42.25,41.8125,14.79037094116211
30-12-1998,42.0,42.25,5100,42.75,42.1875,14.92302417755127
31-12-1998,42.0,42.0,3700,42.875,42.5625,15.055671691894531
04-01-1999,42.25,42.5,33600,43.5,43.0,15.210428237915039
05-01-1999,40.125,40.8125,19100,40.8125,40.375,14.281885147094727
06-01-1999,40.0,40.25,40200,41.5,40.0,14.149235725402832
07-01-1999,41.125,41.25,22500,42.25,41.75,14.768264770507812
08-01-1999,43.5,43.5,23600,44.5,44.5,15.741024017333984
11-01-1999,44.25,44.25,67200,45.375,44.5,15.741024017333984
12-01-1999,43.0,44.0,8400,44.0,43.0,15.210428237915039
13-01-1999,42.5,43.375,103200,43.875,43.625,15.43150520324707
14-01-1999,43.25,43.625,78600,44.0,43.5,15.38729476928711
15-01-1999,43.375,43.375,20500,45.375,44.9375,15.895783424377441
19-01-1999,44.5,44.5,115500,45.0,44.9375,15.895783424377441
20-01-1999,44.5,44.9375,4800,44.9375,44.5,15.741024017333984
21-01-1999,43.0,44.125,14000,44.125,43.375,15.343079566955566
22-01-1999,43.5,44.0,119000,44.0,43.875,15.519943237304688
25-01-1999,44.25,45.25,73600,45.25,44.375,15.696808815002441
26-01-1999,44.125,44.125,64900,44.625,44.1875,15.630483627319336
27-01-1999,43.5625,44.1875,30700,44.1875,43.5625,15.409400939941406
28-01-1999,43.625,43.8125,103600,44.0,44.0,15.564160346984863
29-01-1999,44.125,44.375,2300,44.5,44.25,15.652591705322266
01-02-1999,44.5,44.5,14800,45.4375,45.0,15.917893409729004
02-02-1999,45.0,45.125,20400,45.625,45.0625,15.940000534057617
03-02-1999,45.625,45.625,4900,46.125,45.9375,16.2495174407959
04-02-1999,45.0,45.5,56000,45.5,45.125,15.96211051940918
05-02-1999,43.0,44.0,45400,44.0,43.25,15.29886245727539
08-02-1999,40.25,41.25,41000,41.25,40.375,14.281885147094727
09-02-1999,40.125,40.625,7900,40.75,40.375,14.281885147094727
10-02-1999,38.875,39.0,101100,39.75,39.5625,13.99448299407959
11-02-1999,39.5,39.9375,40200,40.0,39.9375,14.127127647399902
12-02-1999,39.75,40.0,34900,40.0,40.0,14.149235725402832
16-02-1999,39.25,39.5,80600,39.9375,39.5,13.972372055053711
17-02-1999,38.046875,38.25,80000,38.8125,38.25,13.5302095413208
18-02-1999,37.25,37.625,57800,37.9375,37.375,13.220694541931152
19-02-1999,36.3125,36.4375,26500,36.6875,36.375,12.866961479187012
22-02-1999,36.125,36.375,17700,36.75,36.625,12.955394744873047
23-02-1999,36.796875,37.375,32400,37.625,37.3125,13.198589324951172
24-02-1999,38.375,38.375,50700,39.0,38.875,13.751290321350098
25-02-1999,38.75,38.75,24000,39.125,38.875,13.751290321350098
26-02-1999,39.125,39.125,54900,39.5,39.1875,13.861834526062012
01-03-1999,39.0,39.25,82000,39.4375,39.25,13.883938789367676
02-03-1999,39.375,39.4375,17700,39.875,39.6875,14.038698196411133
03-03-1999,39.375,39.5,6800,39.875,39.625,14.016583442687988
04-03-1999,40.25,40.875,10500,40.875,40.75,14.414533615112305
05-03-1999,41.5,41.5,6200,42.0,41.75,14.768264770507812
08-03-1999,41.3125,41.6875,11800,41.8125,41.625,14.724050521850586
09-03-1999,40.25,40.75,13800,40.75,40.5,14.326101303100586
10-03-1999,38.75,39.5,14000,39.5625,38.8125,13.729181289672852
11-03-1999,39.5,39.625,54700,41.25,41.0625,14.525077819824219
12-03-1999,39.375,40.5,41600,40.5,39.5,13.972372055053711
15-03-1999,39.8125,39.8125,13000,40.625,40.625,14.370311737060547
16-03-1999,40.6875,40.75,7500,41.125,40.8125,14.436643600463867
17-03-1999,40.0,40.625,5600,40.625,40.125,14.193451881408691
18-03-1999,40.0,40.0,28800,40.875,40.875,14.458751678466797
19-03-1999,38.75,39.375,15100,39.625,39.5625,13.99448299407959
22-03-1999,38.25,39.125,7800,39.125,38.5,13.618640899658203
23-03-1999,38.0,38.5,14800,38.890625,38.0,13.441778182983398
24-03-1999,38.125,38.3125,17900,38.5,38.3125,13.552315711975098
25-03-1999,38.5,38.5,28300,39.5,38.875,13.751290321350098
26-03-1999,36.375,37.0,17900,37.0,36.75,12.999612808227539
29-03-1999,38.0,38.0,12000,38.875,38.875,13.751290321350098
30-03-1999,38.0,39.375,37300,39.375,38.5,13.618640899658203
31-03-1999,38.75,38.75,7000,39.25,38.9375,13.773399353027344
01-04-1999,38.625,39.0,7600,39.25,38.6875,13.684966087341309
05-04-1999,38.8125,39.0,3100,39.0,38.9375,13.773399353027344
06-04-1999,39.5,39.5,13500,40.375,40.375,14.281885147094727
07-04-1999,40.125,40.25,57600,40.875,40.8125,14.436643600463867
08-04-1999,40.8125,40.8125,82100,41.25,41.1875,14.569293975830078
09-04-1999,39.875,39.875,35400,40.125,40.0,14.149235725402832
12-04-1999,38.5,38.5,40300,38.8125,38.625,13.662857055664062
13-04-1999,37.375,37.625,41100,37.9375,37.375,13.220694541931152
14-04-1999,37.3125,37.375,48300,38.375,38.0,13.441778182983398
15-04-1999,35.1875,36.75,28900,36.75,35.3125,12.491124153137207
16-04-1999,35.046875,35.0625,27000,35.9375,35.75,12.645882606506348
19-04-1999,34.375,34.5,27900,35.0,34.5625,12.225825309753418
20-04-1999,32.875,33.125,25200,33.5,33.1875,11.739445686340332
21-04-1999,33.375,33.5625,347400,33.921875,33.875,11.982635498046875
22-04-1999,34.625,35.0,32000,35.875,35.875,12.690094947814941
23-04-1999,36.0,36.0,14800,36.5625,36.25,12.822745323181152
26-04-1999,37.5,37.75,22700,38.0,37.625,13.309124946594238
27-04-1999,38.1875,38.1875,15100,39.125,38.875,13.751290321350098
28-04-1999,37.5,38.375,24100,38.6875,38.1875,13.508100509643555
