Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1989,4.300000190734863,0.0,3450500,4.324999809265137,4.324999809265137,0.7485535740852356
20-03-1989,4.300000190734863,0.0,261000,4.349999904632568,4.324999809265137,0.7485535740852356
21-03-1989,4.349999904632568,0.0,360000,4.375,4.375,0.7572075128555298
22-03-1989,4.324999809265137,0.0,135500,4.349999904632568,4.324999809265137,0.7485535740852356
23-03-1989,4.349999904632568,0.0,495500,4.400000095367432,4.349999904632568,0.7528805732727051
27-03-1989,4.349999904632568,0.0,27500,4.375,4.349999904632568,0.7528805732727051
28-03-1989,4.349999904632568,0.0,198500,4.375,4.349999904632568,0.7528805732727051
29-03-1989,4.275000095367432,0.0,81000,4.324999809265137,4.300000190734863,0.7442264556884766
30-03-1989,4.275000095367432,0.0,112000,4.300000190734863,4.275000095367432,0.7398996949195862
31-03-1989,4.25,0.0,66500,4.300000190734863,4.25,0.7355726957321167
03-04-1989,4.25,0.0,120500,4.300000190734863,4.275000095367432,0.7398996949195862
04-04-1989,4.199999809265137,0.0,82000,4.25,4.199999809265137,0.7269189953804016
05-04-1989,3.950000047683716,0.0,120500,4.050000190734863,4.050000190734863,0.7009575963020325
06-04-1989,4.025000095367432,0.0,127000,4.050000190734863,4.025000095367432,0.6966307759284973
07-04-1989,4.0,0.0,130500,4.050000190734863,4.0,0.6923040747642517
10-04-1989,3.9749999046325684,0.0,40500,4.025000095367432,4.0,0.6923040747642517
11-04-1989,4.0,0.0,52000,4.050000190734863,4.0,0.6923040747642517
12-04-1989,4.050000190734863,0.0,217500,4.099999904632568,4.050000190734863,0.7009575963020325
13-04-1989,4.050000190734863,0.0,22500,4.050000190734863,4.050000190734863,0.7009575963020325
14-04-1989,4.025000095367432,0.0,48000,4.050000190734863,4.050000190734863,0.7009575963020325
17-04-1989,4.0,0.0,54000,4.050000190734863,4.050000190734863,0.7009575963020325
18-04-1989,4.0,0.0,551500,4.074999809265137,4.0,0.6923040747642517
19-04-1989,4.125,0.0,167000,4.150000095367432,4.150000095367432,0.718265175819397
20-04-1989,4.099999904632568,0.0,114500,4.150000095367432,4.099999904632568,0.709611177444458
21-04-1989,4.074999809265137,0.0,144000,4.099999904632568,4.074999809265137,0.7052847743034363
24-04-1989,4.050000190734863,0.0,49000,4.074999809265137,4.074999809265137,0.7052847743034363
25-04-1989,4.025000095367432,0.0,82500,4.099999904632568,4.025000095367432,0.6966307759284973
26-04-1989,4.050000190734863,0.0,86000,4.074999809265137,4.074999809265137,0.7052847743034363
27-04-1989,4.074999809265137,0.0,71500,4.150000095367432,4.125,0.7139384746551514
28-04-1989,4.099999904632568,0.0,775500,4.150000095367432,4.150000095367432,0.718265175819397
01-05-1989,4.099999904632568,0.0,28500,4.150000095367432,4.125,0.7139384746551514
02-05-1989,4.125,0.0,23500,4.150000095367432,4.125,0.7139384746551514
03-05-1989,4.25,0.0,527500,4.275000095367432,4.275000095367432,0.7398996949195862
04-05-1989,4.275000095367432,0.0,321000,4.324999809265137,4.300000190734863,0.7442264556884766
05-05-1989,4.324999809265137,0.0,216500,4.375,4.349999904632568,0.7528805732727051
08-05-1989,4.324999809265137,0.0,143500,4.349999904632568,4.349999904632568,0.7528805732727051
09-05-1989,4.300000190734863,0.0,61000,4.324999809265137,4.324999809265137,0.7485535740852356
10-05-1989,4.324999809265137,0.0,117500,4.349999904632568,4.324999809265137,0.7485535740852356
11-05-1989,4.349999904632568,0.0,138500,4.375,4.375,0.7572075128555298
12-05-1989,4.425000190734863,0.0,346500,4.474999904632568,4.449999809265137,0.7701879739761353
15-05-1989,4.400000095367432,0.0,119500,4.449999809265137,4.425000190734863,0.7658612728118896
16-05-1989,4.349999904632568,0.0,76500,4.400000095367432,4.349999904632568,0.7528805732727051
17-05-1989,4.349999904632568,0.0,161500,4.400000095367432,4.349999904632568,0.7528805732727051
18-05-1989,4.199999809265137,0.0,33500,4.25,4.199999809265137,0.7269189953804016
19-05-1989,4.150000095367432,0.0,103500,4.224999904632568,4.224999904632568,0.7312459349632263
22-05-1989,4.099999904632568,0.0,67000,4.150000095367432,4.150000095367432,0.718265175819397
23-05-1989,4.125,0.0,39000,4.150000095367432,4.125,0.7139384746551514
24-05-1989,4.050000190734863,0.0,24500,4.125,4.125,0.7139384746551514
25-05-1989,4.0,0.0,31000,4.050000190734863,4.025000095367432,0.6966307759284973
26-05-1989,3.950000047683716,0.0,143500,4.025000095367432,3.950000047683716,0.6836498975753784
30-05-1989,3.9000000953674316,0.0,63500,3.924999952316284,3.9000000953674316,0.6749964356422424
31-05-1989,3.799999952316284,0.0,263000,3.9000000953674316,3.799999952316284,0.6576886177062988
01-06-1989,3.799999952316284,0.0,321500,3.825000047683716,3.799999952316284,0.6576886177062988
02-06-1989,3.625,0.0,51000,3.7750000953674316,3.7750000953674316,0.6625325679779053
05-06-1989,3.674999952316284,0.0,48500,3.75,3.674999952316284,0.6449822783470154
06-06-1989,3.6500000953674316,0.0,23500,3.674999952316284,3.6500000953674316,0.640594482421875
07-06-1989,3.700000047683716,0.0,134000,3.8499999046325684,3.8499999046325684,0.6756954789161682
08-06-1989,3.75,0.0,47000,3.8499999046325684,3.75,0.658145010471344
09-06-1989,3.7249999046325684,0.0,7500,3.7249999046325684,3.7249999046325684,0.6537575721740723
12-06-1989,3.625,0.0,32500,3.700000047683716,3.674999952316284,0.6449822783470154
13-06-1989,3.625,0.0,36000,3.6500000953674316,3.625,0.6362066864967346
14-06-1989,3.6500000953674316,0.0,8000,3.674999952316284,3.674999952316284,0.6449822783470154
15-06-1989,3.6500000953674316,0.0,14500,3.700000047683716,3.700000047683716,0.6493697166442871
16-06-1989,3.6500000953674316,0.0,3000,3.6500000953674316,3.6500000953674316,0.640594482421875
19-06-1989,3.6500000953674316,0.0,2500,3.674999952316284,3.674999952316284,0.6449822783470154
20-06-1989,3.700000047683716,0.0,62000,3.7249999046325684,3.700000047683716,0.6493697166442871
21-06-1989,3.700000047683716,0.0,8500,3.75,3.75,0.658145010471344
22-06-1989,3.625,0.0,89000,3.75,3.674999952316284,0.6449822783470154
23-06-1989,3.674999952316284,0.0,21500,3.700000047683716,3.674999952316284,0.6449822783470154
26-06-1989,3.625,0.0,56500,3.674999952316284,3.625,0.6362066864967346
27-06-1989,3.674999952316284,0.0,9500,3.674999952316284,3.674999952316284,0.6449822783470154
28-06-1989,3.575000047683716,0.0,79500,3.674999952316284,3.575000047683716,0.6274315714836121
29-06-1989,3.625,0.0,74500,3.75,3.7249999046325684,0.6537575721740723
30-06-1989,3.7249999046325684,3.7249999046325684,6000,3.7249999046325684,3.7249999046325684,0.6537575721740723
03-07-1989,3.700000047683716,3.7249999046325684,5000,3.7249999046325684,3.7249999046325684,0.6537575721740723
05-07-1989,3.75,3.75,32000,3.8499999046325684,3.8499999046325684,0.6756954789161682
