Date,Low,Open,Volume,High,Close,Adjusted Close
28-02-1996,10.25,10.5,6837600,11.875,11.5,9.67670726776123
29-02-1996,10.875,11.875,1587200,11.875,11.0,9.255980491638184
01-03-1996,10.75,11.0,452600,11.25,10.8125,9.098207473754883
04-03-1996,10.375,10.75,546800,11.0,10.375,8.730073928833008
05-03-1996,10.375,10.375,520400,11.0,10.9375,9.203392028808594
06-03-1996,10.75,10.9375,265200,11.25,11.0625,9.308572769165039
07-03-1996,11.0,11.25,388400,11.375,11.25,9.46634578704834
08-03-1996,10.625,11.0,184000,11.125,10.625,8.940439224243164
11-03-1996,10.5,10.5,493400,10.75,10.75,9.045619010925293
12-03-1996,10.625,10.625,124000,11.625,11.625,9.781890869140625
13-03-1996,11.625,11.625,176200,12.0,11.625,9.781890869140625
14-03-1996,11.625,11.75,44000,11.875,11.625,9.781890869140625
15-03-1996,11.75,11.75,72600,12.375,12.375,10.412978172302246
18-03-1996,12.125,12.375,426600,12.75,12.625,10.623345375061035
19-03-1996,12.125,12.625,199000,12.75,12.1875,10.255208015441895
20-03-1996,12.125,12.125,115600,12.375,12.375,10.412978172302246
21-03-1996,12.125,12.125,64600,12.5,12.25,10.307798385620117
22-03-1996,12.125,12.25,25600,12.375,12.125,10.202618598937988
25-03-1996,12.125,12.125,28400,12.375,12.15625,10.228913307189941
26-03-1996,11.375,12.0,75000,12.0,11.375,9.571527481079102
27-03-1996,11.25,11.375,178600,11.4375,11.25,9.46634578704834
28-03-1996,11.25,11.5,44200,11.625,11.5625,9.729301452636719
29-03-1996,11.5,11.5,253000,11.75,11.5,9.67670726776123
01-04-1996,11.625,11.625,99000,11.75,11.625,9.781890869140625
02-04-1996,11.75,11.75,49200,11.875,11.75,9.887073516845703
03-04-1996,11.75,11.875,9000,12.0,11.75,9.887073516845703
04-04-1996,11.75,12.0,3400,12.0,11.75,9.887073516845703
08-04-1996,11.5,11.75,56000,11.75,11.625,9.781890869140625
09-04-1996,11.875,12.0,17200,12.125,11.875,9.992255210876465
10-04-1996,12.0,12.0,137200,12.75,12.5625,10.57075309753418
11-04-1996,12.375,12.75,135200,13.0,12.625,10.623345375061035
12-04-1996,12.625,13.0,22400,13.0,12.625,10.623345375061035
15-04-1996,12.875,13.125,33400,13.125,13.0,10.938888549804688
16-04-1996,13.0,13.125,30800,13.75,13.375,11.254434585571289
17-04-1996,13.625,13.75,30800,13.875,13.875,11.675159454345703
18-04-1996,13.75,14.125,7800,14.125,14.125,11.885522842407227
19-04-1996,14.0,14.0,24800,14.25,14.25,11.990706443786621
22-04-1996,14.0,14.0,16200,14.25,14.0,11.780344009399414
23-04-1996,14.125,14.125,71600,14.5,14.375,12.095888137817383
24-04-1996,14.25,14.5,10600,14.5,14.5,12.201069831848145
25-04-1996,14.375,14.4375,73800,14.75,14.75,12.411431312561035
26-04-1996,14.375,14.375,8000,14.75,14.5,12.201069831848145
29-04-1996,14.5,14.75,71200,15.125,14.9375,12.569205284118652
30-04-1996,14.625,14.75,108400,16.0,16.0,13.463247299194336
01-05-1996,15.875,16.25,105200,16.625,16.125,13.568426132202148
02-05-1996,16.125,16.5,122600,16.625,16.375,13.778792381286621
03-05-1996,16.125,16.125,176400,16.5,16.5,13.883976936340332
06-05-1996,16.25,16.5,229200,16.5,16.25,13.673613548278809
07-05-1996,15.75,15.875,47800,16.125,15.75,13.252883911132812
08-05-1996,15.5,15.625,21000,16.25,16.25,13.673613548278809
