Date,Low,Open,Volume,High,Close,Adjusted Close
18-09-2006,12.800000190734863,12.800000190734863,1000.0,12.800000190734863,12.800000190734863,12.800000190734863
19-09-2006,,,,,,
20-09-2006,,,,,,
21-09-2006,,,,,,
22-09-2006,,,,,,
25-09-2006,13.25,13.25,2800.0,14.0,13.912500381469727,13.912500381469727
26-09-2006,,,,,,
27-09-2006,13.25,13.25,200.0,13.25,13.25,13.25
28-09-2006,,,,,,
29-09-2006,,,,,,
02-10-2006,,,,,,
03-10-2006,,,,,,
04-10-2006,,,,,,
05-10-2006,,,,,,
06-10-2006,,,,,,
09-10-2006,,,,,,
10-10-2006,,,,,,
11-10-2006,,,,,,
12-10-2006,,,,,,
13-10-2006,,,,,,
16-10-2006,,,,,,
17-10-2006,,,,,,
18-10-2006,,,,,,
19-10-2006,,,,,,
20-10-2006,,,,,,
23-10-2006,,,,,,
24-10-2006,,,,,,
25-10-2006,13.0,13.0,1000.0,13.0,13.0,13.0
26-10-2006,13.699999809265137,13.699999809265137,1000.0,13.699999809265137,13.699999809265137,13.699999809265137
27-10-2006,13.739999771118164,13.75,2100.0,13.75,13.739999771118164,13.739999771118164
30-10-2006,,,,,,
31-10-2006,,,,,,
01-11-2006,,,,,,
02-11-2006,,,,,,
03-11-2006,,,,,,
06-11-2006,13.75,13.75,1000.0,13.75,13.75,13.75
07-11-2006,,,,,,
08-11-2006,,,,,,
09-11-2006,,,,,,
10-11-2006,13.75,13.75,100.0,13.75,13.75,13.75
13-11-2006,,,,,,
14-11-2006,13.989999771118164,13.989999771118164,700.0,13.989999771118164,13.989999771118164,13.989999771118164
15-11-2006,,,,,,
16-11-2006,14.0,14.0,200.0,14.0,14.0,14.0
17-11-2006,,,,,,
20-11-2006,,,,,,
21-11-2006,,,,,,
22-11-2006,,,,,,
24-11-2006,,,,,,
27-11-2006,,,,,,
28-11-2006,,,,,,
29-11-2006,,,,,,
30-11-2006,,,,,,
01-12-2006,,,,,,
04-12-2006,,,,,,
05-12-2006,,,,,,
06-12-2006,,,,,,
07-12-2006,,,,,,
08-12-2006,13.989999771118164,13.989999771118164,1000.0,13.989999771118164,13.989999771118164,13.989999771118164
11-12-2006,,,,,,
12-12-2006,,,,,,
13-12-2006,,,,,,
14-12-2006,,,,,,
15-12-2006,,,,,,
18-12-2006,,,,,,
19-12-2006,,,,,,
20-12-2006,,,,,,
21-12-2006,,,,,,
22-12-2006,,,,,,
26-12-2006,,,,,,
27-12-2006,,,,,,
28-12-2006,,,,,,
29-12-2006,,,,,,
03-01-2007,,,,,,
04-01-2007,,,,,,
05-01-2007,,,,,,
08-01-2007,,,,,,
09-01-2007,13.989999771118164,13.989999771118164,700.0,13.989999771118164,13.989999771118164,13.989999771118164
10-01-2007,,,,,,
11-01-2007,,,,,,
12-01-2007,,,,,,
16-01-2007,13.989999771118164,13.989999771118164,700.0,13.989999771118164,13.989999771118164,13.989999771118164
17-01-2007,,,,,,
18-01-2007,,,,,,
19-01-2007,,,,,,
22-01-2007,,,,,,
23-01-2007,13.989999771118164,13.989999771118164,200.0,13.989999771118164,13.989999771118164,13.989999771118164
24-01-2007,,,,,,
25-01-2007,,,,,,
26-01-2007,,,,,,
29-01-2007,13.989999771118164,13.989999771118164,100.0,13.989999771118164,13.989999771118164,13.989999771118164
30-01-2007,,,,,,
31-01-2007,,,,,,
01-02-2007,,,,,,
02-02-2007,,,,,,
05-02-2007,,,,,,
06-02-2007,,,,,,
07-02-2007,,,,,,
08-02-2007,,,,,,
09-02-2007,,,,,,
12-02-2007,,,,,,
13-02-2007,,,,,,
14-02-2007,,,,,,
15-02-2007,,,,,,
16-02-2007,,,,,,
20-02-2007,,,,,,
21-02-2007,,,,,,
22-02-2007,,,,,,
23-02-2007,,,,,,
26-02-2007,,,,,,
27-02-2007,,,,,,
28-02-2007,13.989999771118164,13.989999771118164,4200.0,13.989999771118164,13.989999771118164,13.989999771118164
01-03-2007,,,,,,
02-03-2007,13.979999542236328,13.989999771118164,300.0,13.989999771118164,13.979999542236328,13.979999542236328
05-03-2007,,,,,,
06-03-2007,,,,,,
