Date,Low,Open,Volume,High,Close,Adjusted Close
05-08-1998,21.0,21.25,107900,21.6875,21.375,14.19005012512207
06-08-1998,21.25,21.3125,90700,21.8125,21.75,14.438995361328125
07-08-1998,21.75,21.75,89800,22.125,22.0,14.604959487915039
10-08-1998,22.0625,22.125,73300,22.25,22.25,14.770923614501953
11-08-1998,21.125,21.25,101500,21.5,21.5,14.27303409576416
12-08-1998,20.625,20.9375,69200,21.0,20.75,13.77513599395752
13-08-1998,19.4375,19.4375,61500,20.1875,20.0,13.277238845825195
14-08-1998,20.0,20.125,28700,20.375,20.3125,13.484698295593262
17-08-1998,20.125,20.4375,40000,20.4375,20.375,13.526189804077148
18-08-1998,20.125,20.25,20100,20.375,20.3125,13.484698295593262
19-08-1998,19.75,20.25,58000,20.25,19.75,13.111270904541016
20-08-1998,19.25,19.9375,76700,20.0,19.75,13.111270904541016
21-08-1998,19.5,19.625,102700,20.0,19.9375,13.235745429992676
24-08-1998,19.0625,19.875,73500,19.875,19.75,13.111270904541016
25-08-1998,18.8125,19.0,53200,19.5,18.875,12.5303955078125
26-08-1998,17.5,18.375,112300,18.375,17.5625,11.659075736999512
27-08-1998,16.5,17.0,98400,17.125,16.8125,11.161177635192871
28-08-1998,16.0,16.5625,109400,17.125,16.3125,10.829249382019043
31-08-1998,16.0625,17.171875,117300,17.171875,16.25,10.787755966186523
01-09-1998,17.375,17.5,109600,18.6875,18.6875,12.405922889709473
02-09-1998,17.8125,18.0625,45700,18.6875,18.5,12.281445503234863
03-09-1998,18.0625,18.125,246900,20.6875,20.625,13.692152976989746
04-09-1998,20.3125,20.3125,214700,22.5,21.75,14.438995361328125
08-09-1998,20.0,22.0,150700,22.5,21.0,13.94110107421875
09-09-1998,20.4375,20.8125,52400,21.0,20.9375,13.899612426757812
10-09-1998,22.25,22.375,308300,24.0625,23.375,15.517772674560547
11-09-1998,22.625,24.0625,217700,24.375,22.625,15.019877433776855
14-09-1998,21.3125,22.5,97000,22.5,22.0,14.604959487915039
15-09-1998,22.125,22.25,29300,22.4375,22.25,14.770923614501953
16-09-1998,21.0,22.0,148500,22.25,21.0625,13.982589721679688
17-09-1998,22.0,22.25,74000,22.6875,22.5,14.9368896484375
18-09-1998,21.75,22.5,35400,22.5,22.125,14.687944412231445
21-09-1998,22.125,22.625,99000,22.625,22.1875,14.729434967041016
22-09-1998,21.5625,21.75,46800,22.0,21.5625,14.314521789550781
23-09-1998,20.75,21.5625,136400,21.5625,21.25,14.10706901550293
24-09-1998,21.5,21.5,276000,23.75,23.6875,15.725234031677246
25-09-1998,24.4375,25.0,348100,25.375,25.125,16.67953109741211
28-09-1998,24.375,24.5,299000,26.3125,26.25,17.426372528076172
29-09-1998,26.375,26.375,133200,26.875,26.625,17.675323486328125
30-09-1998,26.125,26.5,173900,27.125,26.875,17.841291427612305
01-10-1998,27.25,28.0,489000,29.25,29.125,19.334980010986328
02-10-1998,28.8125,29.25,491300,29.625,29.25,19.4179630279541
05-10-1998,26.875,28.5,166500,28.5,27.0,17.924272537231445
