Date,Low,Open,Volume,High,Close,Adjusted Close
27-10-1994,9.1875,9.25,333000,9.25,9.25,2.4531772136688232
28-10-1994,9.25,9.25,257200,9.3125,9.3125,2.469752788543701
31-10-1994,9.25,9.3125,133400,9.3125,9.25,2.4531772136688232
01-11-1994,9.1875,9.3125,44200,9.3125,9.1875,2.4366018772125244
02-11-1994,9.0625,9.125,724600,9.125,9.0625,2.4073805809020996
03-11-1994,9.0,9.125,117800,9.125,9.0625,2.4073805809020996
04-11-1994,9.0625,9.0625,6600,9.0625,9.0625,2.4073805809020996
07-11-1994,8.9375,9.0,43000,9.0,8.9375,2.3741753101348877
08-11-1994,9.0,9.0,40200,9.125,9.125,2.4239845275878906
09-11-1994,9.125,9.1875,71800,9.1875,9.1875,2.440587282180786
10-11-1994,9.125,9.1875,55200,9.1875,9.125,2.4239845275878906
11-11-1994,9.0625,9.125,10800,9.125,9.0625,2.4073805809020996
14-11-1994,9.125,9.125,22400,9.1875,9.125,2.4239845275878906
15-11-1994,9.125,9.1875,98400,9.1875,9.1875,2.440587282180786
16-11-1994,9.0625,9.1875,2400,9.1875,9.0625,2.4073805809020996
17-11-1994,9.0625,9.125,4800,9.125,9.0625,2.4073805809020996
18-11-1994,8.9375,9.125,264600,9.125,9.0,2.390778064727783
21-11-1994,8.9375,9.0,60200,9.0,8.9375,2.3741753101348877
22-11-1994,8.875,9.0,132200,9.0,8.875,2.3575735092163086
23-11-1994,9.0,9.0,22400,9.25,9.25,2.457188844680786
25-11-1994,9.3125,9.3125,6400,9.375,9.375,2.4903945922851562
28-11-1994,9.25,9.375,6200,9.375,9.25,2.457188844680786
29-11-1994,9.1875,9.1875,13400,9.3125,9.3125,2.4737906455993652
30-11-1994,9.1875,9.25,89400,9.3125,9.25,2.457188844680786
01-12-1994,9.125,9.25,35200,9.25,9.1875,2.440587282180786
02-12-1994,9.125,9.125,26400,9.25,9.25,2.457188844680786
05-12-1994,9.3125,9.3125,32000,9.5625,9.4375,2.5069963932037354
06-12-1994,9.25,9.4375,88400,9.4375,9.25,2.457188844680786
07-12-1994,9.1875,9.1875,7200,9.25,9.25,2.457188844680786
08-12-1994,9.125,9.1875,2600,9.1875,9.1875,2.440587282180786
09-12-1994,9.0625,9.125,93200,9.125,9.0625,2.4073805809020996
12-12-1994,9.125,9.125,3800,9.1875,9.1875,2.440587282180786
13-12-1994,9.25,9.25,20600,9.375,9.3125,2.4737906455993652
14-12-1994,9.3125,9.3125,28200,9.4375,9.3125,2.4737906455993652
15-12-1994,9.3125,9.375,16600,9.4375,9.3125,2.4737906455993652
16-12-1994,9.3125,9.375,3000,9.375,9.375,2.4903945922851562
