Date,Low,Open,Volume,High,Close,Adjusted Close
10-02-1988,60.0,0.0,106083,60.75,60.0,3.4389352798461914
11-02-1988,60.0,0.0,4850,60.75,60.0,3.4389352798461914
12-02-1988,60.0,0.0,12017,60.0,60.0,3.4389352798461914
16-02-1988,60.0,0.0,1517,60.0,60.0,3.4389352798461914
17-02-1988,60.0,0.0,11317,60.75,60.75,3.4819250106811523
18-02-1988,60.0,0.0,1567,60.75,60.0,3.4389352798461914
19-02-1988,60.0,0.0,5117,60.75,60.75,3.4819250106811523
22-02-1988,60.0,0.0,533,60.75,60.75,3.4819250106811523
23-02-1988,60.0,0.0,4483,60.75,60.75,3.4819250106811523
24-02-1988,60.0,0.0,9167,60.0,60.0,3.4389352798461914
25-02-1988,60.0,0.0,1633,60.75,60.75,3.4819250106811523
26-02-1988,60.0,0.0,12317,60.75,60.75,3.4819250106811523
29-02-1988,60.0,0.0,53150,60.0,60.0,3.4389352798461914
01-03-1988,59.25,0.0,12017,60.0,60.0,3.4389352798461914
02-03-1988,59.25,0.0,4683,59.25,59.25,3.3959522247314453
03-03-1988,59.25,0.0,9983,59.25,59.25,3.3959522247314453
04-03-1988,59.25,0.0,5367,59.25,59.25,3.3959522247314453
07-03-1988,58.5,0.0,8250,59.25,59.25,3.3959522247314453
08-03-1988,59.25,0.0,5600,59.25,59.25,3.3959522247314453
09-03-1988,59.25,0.0,8867,60.0,60.0,3.4389352798461914
10-03-1988,59.25,0.0,10700,60.0,60.0,3.4389352798461914
11-03-1988,59.25,0.0,767,60.0,59.25,3.3959522247314453
14-03-1988,59.25,0.0,1217,59.25,59.25,3.3959522247314453
15-03-1988,59.25,0.0,2367,60.0,60.0,3.4389352798461914
16-03-1988,59.25,0.0,1350,59.25,59.25,3.3959522247314453
17-03-1988,59.25,0.0,2800,60.0,60.0,3.4389352798461914
18-03-1988,59.25,0.0,8067,60.0,60.0,3.4389352798461914
21-03-1988,59.25,0.0,3817,60.0,60.0,3.4389352798461914
22-03-1988,59.25,0.0,4000,60.0,60.0,3.4389352798461914
23-03-1988,59.25,0.0,8217,60.0,60.0,3.4389352798461914
24-03-1988,59.25,0.0,12783,60.0,60.0,3.4389352798461914
25-03-1988,59.25,0.0,6067,60.0,60.0,3.4389352798461914
28-03-1988,60.0,0.0,4533,60.0,60.0,3.4389352798461914
29-03-1988,60.0,0.0,7933,60.75,60.75,3.4819250106811523
30-03-1988,60.0,0.0,6950,60.75,60.75,3.4819250106811523
31-03-1988,60.0,0.0,3700,60.75,60.75,3.4819250106811523
04-04-1988,60.0,0.0,4317,60.75,60.0,3.4389352798461914
05-04-1988,60.0,0.0,4283,60.75,60.75,3.4819250106811523
06-04-1988,60.0,0.0,10617,62.25,62.25,3.567896842956543
07-04-1988,60.75,0.0,9533,61.5,61.5,3.5249111652374268
08-04-1988,60.75,0.0,6233,61.5,61.5,3.5249111652374268
11-04-1988,60.75,0.0,7167,61.5,61.5,3.5249111652374268
12-04-1988,60.75,0.0,8000,62.25,62.25,3.567896842956543
13-04-1988,61.5,0.0,5267,62.25,62.25,3.567896842956543
14-04-1988,60.75,0.0,7100,62.25,61.5,3.5249111652374268
15-04-1988,61.5,0.0,3717,62.25,62.25,3.567896842956543
18-04-1988,61.5,0.0,3883,62.25,62.25,3.567896842956543
19-04-1988,61.5,0.0,4817,62.25,61.5,3.5249111652374268
20-04-1988,61.5,0.0,5200,62.25,61.5,3.5249111652374268
21-04-1988,61.5,0.0,6050,62.25,62.25,3.567896842956543
22-04-1988,61.5,0.0,4467,62.25,62.25,3.567896842956543
25-04-1988,61.5,0.0,2600,62.25,62.25,3.567896842956543
26-04-1988,61.5,0.0,5000,62.25,62.25,3.567896842956543
27-04-1988,61.5,0.0,8200,63.0,63.0,3.6108834743499756
28-04-1988,62.25,0.0,20150,64.5,63.75,3.6538727283477783
29-04-1988,63.75,0.0,8383,64.5,64.5,3.69685697555542
02-05-1988,63.75,0.0,5150,64.5,64.5,3.69685697555542
