Date,Low,Open,Volume,High,Close,Adjusted Close
01-05-1992,15.0,15.0,64800,15.125,15.0,1.4097110033035278
04-05-1992,15.0,15.0,16600,15.125,15.0,1.4097110033035278
05-05-1992,15.0,15.0,7900,15.125,15.125,1.4214584827423096
06-05-1992,15.0,15.125,12200,15.125,15.125,1.4214584827423096
07-05-1992,15.0,15.125,15200,15.125,15.0,1.4097110033035278
08-05-1992,15.0,15.0,17900,15.125,15.0,1.4097110033035278
11-05-1992,15.0,15.125,9200,15.125,15.125,1.4214584827423096
12-05-1992,15.0,15.0,9800,15.125,15.0,1.4097110033035278
13-05-1992,15.0,15.125,27000,15.125,15.125,1.4214584827423096
14-05-1992,15.0,15.0,22000,15.125,15.0,1.4097110033035278
15-05-1992,15.0,15.0,24800,15.125,15.125,1.4214584827423096
18-05-1992,15.0,15.0,4900,15.125,15.0,1.4097110033035278
19-05-1992,15.0,15.125,7100,15.125,15.125,1.4214584827423096
20-05-1992,15.0,15.0,15100,15.125,15.125,1.4214584827423096
21-05-1992,15.0,15.125,31900,15.125,15.0,1.4097110033035278
22-05-1992,15.0,15.25,9100,15.25,15.0,1.4097110033035278
26-05-1992,15.0,15.125,13900,15.125,15.0,1.4097110033035278
27-05-1992,15.0,15.125,38900,15.125,15.0,1.4097110033035278
28-05-1992,15.0,15.0,36700,15.125,15.0,1.4097110033035278
29-05-1992,15.0,15.125,16800,15.25,15.125,1.4214584827423096
01-06-1992,15.0,15.125,3200,15.125,15.0,1.4097110033035278
02-06-1992,14.875,15.0,205800,15.125,15.125,1.4214584827423096
03-06-1992,15.0,15.125,8900,15.125,15.125,1.4214584827423096
04-06-1992,15.0,15.0,6300,15.125,15.0,1.4097110033035278
05-06-1992,15.0,15.0,8300,15.125,15.125,1.4214584827423096
08-06-1992,15.0,15.0,3200,15.125,15.0,1.4097110033035278
09-06-1992,15.0,15.125,23800,15.125,15.0,1.4097110033035278
10-06-1992,15.0,15.125,29700,15.25,15.0,1.4097110033035278
11-06-1992,15.0,15.0,8700,15.125,15.0,1.4097110033035278
12-06-1992,15.0,15.125,11000,15.125,15.0,1.4097110033035278
15-06-1992,15.0,15.0,30400,15.375,15.25,1.4332059621810913
16-06-1992,15.0,15.25,12100,15.25,15.125,1.4214584827423096
17-06-1992,15.0,15.0,11800,15.125,15.0,1.4097110033035278
18-06-1992,15.0,15.0,32900,15.125,15.125,1.4214584827423096
19-06-1992,15.0,15.0,12100,15.125,15.0,1.4097110033035278
22-06-1992,15.0,15.0,25700,15.125,15.0,1.4097110033035278
23-06-1992,15.0,15.0,24100,15.125,15.0,1.4097110033035278
24-06-1992,15.0,15.0,10200,15.0,15.0,1.4097110033035278
25-06-1992,15.0,15.0,6900,15.0,15.0,1.4097110033035278
26-06-1992,15.0,15.0,23800,15.0,15.0,1.4097110033035278
29-06-1992,15.0,15.0,3400,15.125,15.0,1.4097110033035278
30-06-1992,15.0,15.0,11300,15.0,15.0,1.4097110033035278
01-07-1992,15.0,15.0,12000,15.125,15.0,1.4097110033035278
02-07-1992,15.0,15.0,7500,15.125,15.0,1.4097110033035278
06-07-1992,15.0,15.0,18200,15.125,15.125,1.4214584827423096
07-07-1992,15.0,15.0,9700,15.125,15.125,1.4214584827423096
08-07-1992,15.0,15.0,14600,15.125,15.125,1.4214584827423096
09-07-1992,15.0,15.125,21100,15.125,15.0,1.4097110033035278
10-07-1992,15.0,15.125,10700,15.125,15.0,1.4097110033035278
13-07-1992,15.0,15.125,13300,15.125,15.0,1.4097110033035278
14-07-1992,15.0,15.0,4300,15.125,15.0,1.4097110033035278
15-07-1992,15.0,15.0,6300,15.125,15.0,1.4097110033035278
16-07-1992,14.5,14.75,55100,14.75,14.625,1.374468445777893
17-07-1992,14.625,14.625,9200,14.875,14.625,1.374468445777893
20-07-1992,14.5,14.625,14500,14.75,14.5,1.3627208471298218
21-07-1992,14.5,14.5,14500,14.625,14.625,1.374468445777893
22-07-1992,14.5,14.5,9100,14.625,14.5,1.3627208471298218
23-07-1992,14.5,14.5,5300,14.625,14.5,1.3627208471298218
24-07-1992,14.625,14.625,6400,14.75,14.625,1.374468445777893
27-07-1992,14.5,14.5,10000,14.625,14.5,1.3627208471298218
28-07-1992,14.5,14.625,19900,14.75,14.5,1.3627208471298218
29-07-1992,14.5,14.625,8100,14.625,14.5,1.3627208471298218
30-07-1992,14.5,14.5,4800,14.625,14.625,1.374468445777893
31-07-1992,14.625,14.625,19100,14.875,14.75,1.3862159252166748
03-08-1992,14.625,14.625,6200,14.875,14.875,1.397963285446167
04-08-1992,14.75,14.875,30600,15.0,14.875,1.397963285446167
05-08-1992,14.75,14.75,3600,14.875,14.75,1.3862159252166748
06-08-1992,14.75,14.75,5300,14.75,14.75,1.3862159252166748
07-08-1992,14.75,14.875,5700,14.875,14.75,1.3862159252166748
10-08-1992,14.625,14.625,700,14.625,14.625,1.374468445777893
