Date,Low,Open,Volume,High,Close,Adjusted Close
11-02-1994,14.125,14.5,5300,14.5,14.25,1.1471577882766724
14-02-1994,14.375,14.375,22900,14.5,14.375,1.1572202444076538
15-02-1994,14.375,14.375,12600,14.5,14.375,1.1572202444076538
16-02-1994,14.375,14.5,20300,14.75,14.5,1.1672829389572144
17-02-1994,14.5,14.5,8700,14.625,14.5,1.1672829389572144
18-02-1994,14.625,14.625,19800,14.75,14.75,1.1874091625213623
22-02-1994,14.5,14.75,13000,14.75,14.75,1.1874091625213623
23-02-1994,14.5,14.75,21400,14.75,14.5,1.1672829389572144
24-02-1994,14.5,14.5,12400,14.625,14.5,1.1672829389572144
25-02-1994,14.5,14.5,14400,14.75,14.75,1.1874091625213623
28-02-1994,14.625,14.75,57900,15.0,15.0,1.2075341939926147
01-03-1994,14.5,14.875,34900,15.0,14.625,1.1773465871810913
02-03-1994,14.375,14.5,23800,14.875,14.875,1.197471261024475
03-03-1994,14.625,14.625,5300,14.875,14.875,1.197471261024475
04-03-1994,14.75,14.875,15900,14.875,14.875,1.197471261024475
07-03-1994,14.75,14.875,10000,14.875,14.875,1.197471261024475
08-03-1994,14.875,14.875,14700,15.0,15.0,1.2075341939926147
09-03-1994,14.75,14.875,28600,15.0,15.0,1.2140089273452759
10-03-1994,14.875,14.875,10700,15.0,15.0,1.2140089273452759
11-03-1994,14.875,14.875,14000,15.0,15.0,1.2140089273452759
14-03-1994,14.75,15.0,9800,15.0,14.75,1.1937758922576904
15-03-1994,14.75,14.875,16500,14.875,14.75,1.1937758922576904
16-03-1994,14.75,14.875,15100,14.875,14.75,1.1937758922576904
17-03-1994,14.75,14.75,14000,14.875,14.875,1.2038923501968384
18-03-1994,14.75,14.875,26700,15.0,15.0,1.2140089273452759
21-03-1994,14.875,15.0,12100,15.0,14.875,1.2038923501968384
22-03-1994,14.75,14.75,21700,15.0,15.0,1.2140089273452759
23-03-1994,14.75,14.875,18400,14.875,14.75,1.1937758922576904
24-03-1994,14.625,14.875,23600,14.875,14.75,1.1937758922576904
25-03-1994,14.625,14.875,7900,14.875,14.875,1.2038923501968384
28-03-1994,14.75,14.875,12700,14.875,14.75,1.1937758922576904
29-03-1994,14.625,14.875,18200,14.875,14.75,1.1937758922576904
30-03-1994,14.375,14.75,9600,14.75,14.5,1.1735421419143677
31-03-1994,14.375,14.375,21700,14.75,14.75,1.1937758922576904
04-04-1994,14.5,14.625,23900,14.75,14.75,1.1937758922576904
05-04-1994,14.375,14.75,14200,14.75,14.625,1.1836591958999634
06-04-1994,14.625,14.625,5900,14.75,14.625,1.1836591958999634
07-04-1994,14.625,14.625,9000,14.75,14.75,1.1937758922576904
08-04-1994,14.375,14.75,11400,14.75,14.375,1.163425326347351
11-04-1994,14.375,14.5,8900,14.5,14.5,1.1801096200942993
12-04-1994,14.125,14.375,8800,14.5,14.125,1.1495897769927979
13-04-1994,14.125,14.25,15000,14.25,14.125,1.1495897769927979
14-04-1994,14.0,14.0,17500,14.25,14.0,1.1394156217575073
15-04-1994,14.0,14.0,9000,14.25,14.125,1.1495897769927979
18-04-1994,13.375,14.125,18100,14.25,13.625,1.108896017074585
19-04-1994,13.5,13.625,13600,13.75,13.75,1.1190695762634277
20-04-1994,13.625,13.75,25400,14.0,14.0,1.1394156217575073
21-04-1994,13.875,13.875,13900,14.125,14.125,1.1495897769927979
22-04-1994,13.75,14.125,15300,14.125,13.875,1.1292428970336914
25-04-1994,13.75,13.875,12600,13.875,13.875,1.1292428970336914
26-04-1994,13.875,14.0,7600,14.125,14.125,1.1495897769927979
28-04-1994,13.875,14.125,13000,14.125,14.0,1.1394156217575073
