Date,Low,Open,Volume,High,Close,Adjusted Close
31-01-1992,10.9375,12.25,19977200,12.25,11.125,6.3685784339904785
03-02-1992,10.5625,11.0,4132000,11.1875,10.8125,6.1896867752075195
04-02-1992,10.625,10.75,1891000,10.875,10.625,6.0823516845703125
05-02-1992,10.875,11.0,3734600,11.375,11.0625,6.332799911499023
06-02-1992,11.0,11.125,1074200,11.25,11.125,6.3685784339904785
07-02-1992,10.875,11.125,916200,11.25,11.125,6.3685784339904785
10-02-1992,10.5,11.0,1289800,11.25,10.5,6.0107951164245605
11-02-1992,10.5,10.5,1285600,11.375,11.0,6.2970194816589355
12-02-1992,11.0,11.0,1226000,11.375,11.125,6.3685784339904785
13-02-1992,10.5,11.0,786400,11.25,10.625,6.0823516845703125
14-02-1992,10.5,10.5,584600,11.0,10.875,6.225464344024658
18-02-1992,10.375,11.0,918400,11.0,10.375,5.939236164093018
19-02-1992,10.375,10.375,977800,10.625,10.625,6.0823516845703125
20-02-1992,10.375,10.375,846200,10.625,10.5,6.0107951164245605
21-02-1992,10.125,10.375,664000,10.5,10.125,5.796123504638672
24-02-1992,10.125,10.375,791200,10.625,10.5,6.0107951164245605
25-02-1992,10.375,10.5,431400,10.75,10.4375,5.975012302398682
26-02-1992,10.25,10.5,391600,10.625,10.3125,5.903459072113037
27-02-1992,10.25,10.375,919400,10.5,10.3125,5.903459072113037
28-02-1992,10.25,10.25,647400,10.75,10.625,6.0823516845703125
02-03-1992,10.5,10.5,539600,10.875,10.75,6.15390682220459
03-03-1992,10.5,10.875,398000,10.875,10.75,6.15390682220459
04-03-1992,10.125,10.625,434600,10.625,10.1875,5.831899166107178
05-03-1992,9.375,9.875,2622600,10.0,9.5,5.4383368492126465
06-03-1992,9.5,9.75,1099600,10.125,9.75,5.58144998550415
09-03-1992,9.5,9.75,101200,9.875,9.875,5.653005599975586
10-03-1992,9.625,10.0,775400,10.125,9.625,5.509893417358398
11-03-1992,9.375,9.75,1485600,9.75,9.4375,5.402556419372559
12-03-1992,9.125,9.625,508200,9.625,9.25,5.295221328735352
13-03-1992,9.25,9.25,761000,9.375,9.25,5.295221328735352
16-03-1992,9.1875,9.25,390600,9.375,9.3125,5.3310017585754395
17-03-1992,9.125,9.125,163200,9.375,9.375,5.366779327392578
18-03-1992,9.0,9.125,357200,9.25,9.125,5.2236647605896
19-03-1992,9.0,9.25,167800,9.25,9.25,5.295221328735352
20-03-1992,9.0,9.25,109600,9.25,9.25,5.295221328735352
23-03-1992,9.125,9.375,159400,9.375,9.25,5.295221328735352
24-03-1992,9.125,9.25,257000,9.375,9.125,5.2236647605896
25-03-1992,8.875,9.25,861000,9.25,9.25,5.295221328735352
26-03-1992,9.125,9.375,529400,9.75,9.6875,5.545671463012695
27-03-1992,9.375,9.75,368600,9.75,9.5,5.4383368492126465
30-03-1992,9.375,9.625,127800,9.625,9.375,5.366779327392578
31-03-1992,9.25,9.375,229200,9.5,9.25,5.295221328735352
01-04-1992,9.125,9.125,63400,9.375,9.375,5.366779327392578
02-04-1992,8.875,9.125,227400,9.375,9.125,5.2236647605896
03-04-1992,8.875,8.875,396000,9.125,9.0,5.1521077156066895
06-04-1992,8.75,8.875,115800,9.0,8.875,5.080551624298096
07-04-1992,8.5,8.75,346800,8.8125,8.5,4.865879535675049
08-04-1992,7.75,8.375,1018600,8.5,8.25,4.72276496887207
09-04-1992,8.25,8.5,692200,9.0,8.75,5.008992671966553
10-04-1992,8.75,9.125,106400,9.125,9.0,5.1521077156066895
13-04-1992,8.625,8.75,521000,8.875,8.625,4.937438011169434
14-04-1992,8.625,8.75,428600,9.125,9.125,5.2236647605896
15-04-1992,8.875,9.125,540600,9.125,9.125,5.2236647605896
16-04-1992,8.875,9.125,99800,9.125,9.0,5.1521077156066895
20-04-1992,8.75,8.875,167400,9.125,8.8125,5.044772148132324
21-04-1992,8.625,8.75,181000,9.0,8.625,4.937438011169434
22-04-1992,8.5,8.625,78200,8.75,8.625,4.937438011169434
23-04-1992,8.5,8.5,252600,8.75,8.75,5.008992671966553
24-04-1992,8.1875,8.5,372800,8.75,8.1875,4.68698787689209
27-04-1992,8.0,8.25,344200,8.25,8.0,4.579651355743408
28-04-1992,7.9375,8.0,182400,8.25,8.25,4.72276496887207
29-04-1992,8.125,8.25,337400,8.75,8.625,4.937438011169434
30-04-1992,8.375,8.5,818200,8.75,8.375,4.794322490692139
01-05-1992,8.5,8.5,1881600,8.625,8.5,4.865879535675049
04-05-1992,8.5,8.625,631400,8.625,8.5,4.865879535675049
05-05-1992,8.5,8.5625,276400,8.75,8.5,4.865879535675049
06-05-1992,8.5,8.625,706200,8.75,8.5,4.865879535675049
07-05-1992,8.25,8.5,578600,8.625,8.5,4.865879535675049
08-05-1992,8.25,8.25,59400,8.5,8.4375,4.83010196685791
11-05-1992,8.375,8.5,689800,8.625,8.5625,4.9016571044921875
12-05-1992,8.375,8.5,483000,8.625,8.5,4.865879535675049
13-05-1992,8.375,8.5,14800,8.5,8.375,4.794322490692139
14-05-1992,8.25,8.5,449200,8.5,8.25,4.72276496887207
15-05-1992,8.25,8.25,327200,8.5,8.25,4.72276496887207
18-05-1992,8.25,8.5,170600,8.5,8.25,4.72276496887207
19-05-1992,8.125,8.25,202200,8.5,8.125,4.651207447052002
20-05-1992,8.125,8.125,271600,8.375,8.125,4.651207447052002
21-05-1992,8.125,8.375,127400,8.375,8.375,4.794322490692139
22-05-1992,8.125,8.125,97200,8.375,8.125,4.651207447052002
26-05-1992,7.875,8.25,188200,8.25,8.125,4.651207447052002
27-05-1992,7.875,8.125,117600,8.125,7.875,4.508092403411865
28-05-1992,7.875,8.125,330200,8.125,7.875,4.508092403411865
29-05-1992,7.75,8.0,162600,8.125,8.0,4.579651355743408
01-06-1992,7.625,7.75,69400,8.0,8.0,4.579651355743408
02-06-1992,7.625,7.75,49200,8.0,7.75,4.4365386962890625
03-06-1992,7.75,7.875,124800,8.0,8.0,4.579651355743408
04-06-1992,7.75,8.0,129800,8.125,8.0,4.579651355743408
05-06-1992,7.875,8.0,176200,8.125,8.0,4.579651355743408
08-06-1992,7.75,8.0,112200,8.125,7.875,4.508092403411865
09-06-1992,7.5,7.875,325800,7.875,7.5,4.293424129486084
10-06-1992,7.5,7.75,207800,7.75,7.5,4.293424129486084
11-06-1992,7.5,7.625,111000,7.625,7.5625,4.329202175140381
12-06-1992,7.5,7.75,43800,7.75,7.5,4.293424129486084
15-06-1992,7.125,7.75,534200,7.75,7.375,4.221866130828857
16-06-1992,7.125,7.375,194800,7.5,7.125,4.078753471374512
17-06-1992,7.0,7.125,544600,7.25,7.125,4.078753471374512
18-06-1992,6.75,7.125,656000,7.125,6.875,3.9356369972229004
19-06-1992,6.75,6.75,3014400,7.0,7.0,4.007195949554443
22-06-1992,6.875,6.9375,424600,7.0,7.0,4.007195949554443
23-06-1992,6.875,7.0,247200,7.0,7.0,4.007195949554443
24-06-1992,6.875,6.9375,395200,7.25,7.125,4.078753471374512
25-06-1992,7.0,7.125,320000,7.25,7.0,4.007195949554443
26-06-1992,6.875,6.875,577000,7.125,7.0,4.007195949554443
29-06-1992,7.0,7.125,197600,7.125,7.0625,4.042973041534424
30-06-1992,7.0,7.125,464800,7.25,7.25,4.150310516357422
01-07-1992,7.25,7.25,611000,8.0,7.75,4.4365386962890625
02-07-1992,7.875,8.0,330400,8.0,8.0,4.579651355743408
06-07-1992,7.875,8.0,212000,8.0,7.9375,4.543873310089111
07-07-1992,7.875,8.0,119200,8.0,7.875,4.508092403411865
08-07-1992,7.25,7.75,380800,7.875,7.25,4.150310516357422
09-07-1992,7.25,7.25,133200,7.75,7.5625,4.329202175140381
10-07-1992,7.375,7.625,100000,7.625,7.375,4.221866130828857
13-07-1992,7.25,7.5,81600,7.625,7.625,4.364980220794678
14-07-1992,7.25,7.5,200400,7.5,7.5,4.293424129486084
15-07-1992,7.25,7.5,86600,7.5,7.3125,4.186089515686035
16-07-1992,7.25,7.5,87800,7.5,7.375,4.221866130828857
17-07-1992,7.25,7.5,43200,7.5,7.375,4.221866130828857
20-07-1992,7.125,7.5,316200,7.5,7.25,4.150310516357422
