Date,Low,Open,Volume,High,Close,Adjusted Close
01-10-1999,14.0,14.0,3162400,14.25,14.125,9.260714530944824
04-10-1999,14.0,14.125,533400,14.125,14.0,9.178754806518555
05-10-1999,14.0,14.0,270600,14.125,14.125,9.260714530944824
06-10-1999,14.125,14.125,205400,14.875,14.875,9.75242805480957
07-10-1999,14.0625,14.875,214200,14.875,14.125,9.260714530944824
08-10-1999,14.0625,14.1875,65600,14.1875,14.0625,9.219734191894531
11-10-1999,14.0,14.0625,77500,14.125,14.0625,9.219734191894531
12-10-1999,14.0,14.0625,49200,14.125,14.125,9.260714530944824
13-10-1999,14.0,14.125,49900,14.375,14.0625,9.219734191894531
14-10-1999,13.25,14.0,430900,14.0625,13.625,8.932896614074707
15-10-1999,12.6875,13.125,158200,13.1875,13.0625,8.564109802246094
18-10-1999,12.5,13.0,83800,13.0,12.8125,8.400197982788086
19-10-1999,12.75,12.75,58200,13.25,13.25,8.687041282653809
20-10-1999,13.125,13.375,62600,13.5,13.125,8.605084419250488
21-10-1999,13.0,13.125,98200,13.4375,13.4375,8.809967041015625
22-10-1999,13.3125,13.375,191200,13.5625,13.5,8.850944519042969
25-10-1999,13.4375,13.4375,153100,13.9375,13.9375,9.137784004211426
26-10-1999,13.8125,13.8125,65600,14.125,14.0,9.178754806518555
27-10-1999,14.0,14.0,100900,14.1875,14.0625,9.219734191894531
28-10-1999,14.125,14.1875,255300,14.5,14.125,9.260714530944824
29-10-1999,14.125,14.125,123200,15.25,15.25,9.998291969299316
01-11-1999,14.625,15.0,41800,15.0,14.75,9.670475959777832
02-11-1999,14.3125,14.75,66600,14.875,14.75,9.670475959777832
03-11-1999,14.6875,14.6875,18500,14.875,14.75,9.670475959777832
04-11-1999,14.5,14.875,72100,15.125,14.9375,9.793408393859863
05-11-1999,14.875,15.0,122900,15.875,15.75,10.32609748840332
08-11-1999,15.8125,15.875,240000,17.375,16.625,10.899773597717285
09-11-1999,16.125,16.75,42400,16.75,16.125,10.571964263916016
10-11-1999,15.8125,16.0,59900,16.125,16.0625,10.530989646911621
11-11-1999,16.0625,16.0625,20000,16.25,16.125,10.571964263916016
12-11-1999,16.25,16.25,248500,18.5,18.0,11.801263809204102
15-11-1999,17.5,18.1875,99200,18.1875,17.6875,11.5963773727417
16-11-1999,17.375,17.6875,95300,17.6875,17.4375,11.432467460632324
17-11-1999,17.25,17.6875,107900,18.25,17.5,11.4734525680542
18-11-1999,17.25,17.5,67500,17.5,17.25,11.309541702270508
19-11-1999,17.1875,17.25,31200,17.75,17.625,11.555399894714355
22-11-1999,17.5625,17.5625,36500,17.875,17.8125,11.678330421447754
23-11-1999,17.8125,17.8125,65500,19.375,19.125,12.538838386535645
24-11-1999,18.375,19.0,53800,19.0,18.5625,12.170049667358398
26-11-1999,18.375,18.5,2600,18.5,18.4375,12.088094711303711
29-11-1999,17.875,18.375,20200,18.375,18.125,11.883214950561523
30-11-1999,18.1875,18.1875,38100,18.5,18.375,12.047120094299316
01-12-1999,18.25,18.375,43800,18.625,18.5625,12.170049667358398
02-12-1999,18.5625,18.5625,33200,19.0,19.0,12.456884384155273
03-12-1999,19.0625,19.125,62000,19.375,19.1875,12.579819679260254
06-12-1999,18.25,19.1875,38200,19.1875,18.375,12.047120094299316
07-12-1999,18.4375,18.5,112500,19.0,18.625,12.211028099060059
08-12-1999,18.0,18.5,27700,18.5,18.1875,11.924192428588867
09-12-1999,18.125,18.25,15500,18.375,18.25,11.965166091918945
10-12-1999,17.625,18.125,22400,18.125,17.625,11.555399894714355
13-12-1999,17.4375,17.75,44500,18.0,17.4375,11.432467460632324
14-12-1999,17.0625,17.25,19400,17.25,17.125,11.22758674621582
15-12-1999,16.875,17.125,11100,17.125,17.125,11.22758674621582
16-12-1999,16.8125,17.0625,90700,17.25,16.8125,11.022706031799316
17-12-1999,16.6875,16.6875,37300,17.25,17.125,11.22758674621582
20-12-1999,16.8125,17.0,31300,17.0,16.9375,11.104662895202637
21-12-1999,16.875,16.9375,11800,17.0625,17.0,11.145634651184082
22-12-1999,17.125,17.125,6300,17.375,17.1875,11.268564224243164
23-12-1999,17.0,17.1875,3700,17.25,17.125,11.22758674621582
27-12-1999,17.0625,17.0625,2400,17.125,17.125,11.22758674621582
28-12-1999,17.0625,17.0625,65600,17.625,17.375,11.391497611999512
29-12-1999,17.125,17.4375,9600,17.4375,17.25,11.309541702270508
30-12-1999,17.125,17.125,5100,17.375,17.3125,11.350518226623535
31-12-1999,17.1875,17.25,13000,17.375,17.1875,11.268564224243164
03-01-2000,16.625,17.4375,64600,17.5,16.625,10.899773597717285
04-01-2000,15.625,16.625,81900,16.625,15.875,10.408058166503906
05-01-2000,15.0,15.75,38100,15.75,15.75,10.32609748840332
06-01-2000,15.75,15.75,41200,16.25,16.0,10.490006446838379
07-01-2000,15.75,15.875,34700,16.25,15.875,10.408058166503906
