Date,Low,Open,Volume,High,Close,Adjusted Close
22-07-1988,10.0,0.0,337500,10.0,10.0,0.27668288350105286
25-07-1988,10.0,0.0,47300,10.0,10.0,0.27668288350105286
26-07-1988,10.0,0.0,63600,10.0,10.0,0.27668288350105286
27-07-1988,10.0,0.0,51600,10.0,10.0,0.27668288350105286
28-07-1988,10.0,0.0,15300,10.0,10.0,0.27668288350105286
29-07-1988,10.0,0.0,4900,10.0,10.0,0.27668288350105286
01-08-1988,10.0,0.0,28900,10.0,10.0,0.27668288350105286
02-08-1988,10.0,0.0,15200,10.0,10.0,0.27668288350105286
03-08-1988,10.0,0.0,69300,10.0,10.0,0.27668288350105286
04-08-1988,10.0,0.0,9000,10.0,10.0,0.27668288350105286
05-08-1988,10.0,0.0,15800,10.0,10.0,0.27668288350105286
08-08-1988,10.0,0.0,54100,10.0,10.0,0.27668288350105286
09-08-1988,10.0,0.0,29000,10.0,10.0,0.27668288350105286
10-08-1988,10.0,0.0,29000,10.0,10.0,0.27668288350105286
11-08-1988,10.0,0.0,20500,10.0,10.0,0.27668288350105286
12-08-1988,9.875,0.0,196100,10.0,10.0,0.27668288350105286
15-08-1988,9.875,0.0,13800,10.0,10.0,0.27668288350105286
16-08-1988,9.875,0.0,16700,10.0,9.875,0.27322420477867126
17-08-1988,9.875,0.0,37900,10.0,9.875,0.27322420477867126
18-08-1988,9.875,0.0,97300,9.875,9.875,0.27322420477867126
19-08-1988,9.875,0.0,18400,10.0,9.875,0.27322420477867126
22-08-1988,9.875,0.0,18500,10.0,9.875,0.27322420477867126
23-08-1988,9.875,0.0,56600,10.0,10.0,0.27668288350105286
24-08-1988,9.875,0.0,12600,10.0,9.875,0.27322420477867126
25-08-1988,9.75,0.0,7000,9.875,9.75,0.2716915011405945
26-08-1988,9.875,0.0,400,9.875,9.875,0.27517497539520264
29-08-1988,9.875,0.0,47200,9.875,9.875,0.27517497539520264
30-08-1988,9.875,0.0,13400,9.875,9.875,0.27517497539520264
31-08-1988,9.875,0.0,14500,9.875,9.875,0.27517497539520264
01-09-1988,9.875,0.0,10400,10.0,9.875,0.27517497539520264
02-09-1988,9.875,0.0,8500,10.0,9.875,0.27517497539520264
06-09-1988,9.875,0.0,12800,10.0,9.875,0.27517497539520264
07-09-1988,9.875,0.0,19000,10.0,9.875,0.27517497539520264
08-09-1988,9.875,0.0,19600,9.875,9.875,0.27517497539520264
09-09-1988,9.875,0.0,22600,10.0,9.875,0.27517497539520264
12-09-1988,9.875,0.0,13600,9.875,9.875,0.27517497539520264
13-09-1988,9.75,0.0,47300,10.0,9.75,0.2716915011405945
14-09-1988,9.625,0.0,17300,9.875,9.75,0.2716915011405945
15-09-1988,9.625,0.0,11600,9.75,9.75,0.2716915011405945
16-09-1988,9.5,0.0,8400,9.625,9.5,0.26472505927085876
19-09-1988,9.25,0.0,31100,9.5,9.375,0.26124197244644165
20-09-1988,9.0,0.0,38500,9.25,9.25,0.2577587366104126
21-09-1988,9.125,0.0,7800,9.25,9.125,0.2542756199836731
22-09-1988,9.125,0.0,13800,9.375,9.375,0.26124197244644165
23-09-1988,9.125,0.0,30300,9.375,9.25,0.2577587366104126
26-09-1988,9.125,0.0,10100,9.375,9.125,0.2564939558506012
27-09-1988,9.125,0.0,20700,9.25,9.25,0.2600075602531433
28-09-1988,9.125,0.0,11100,9.25,9.25,0.2600075602531433
29-09-1988,9.125,0.0,9600,9.25,9.25,0.2600075602531433
30-09-1988,9.125,0.0,22700,9.25,9.25,0.2600075602531433
03-10-1988,9.125,0.0,14700,9.25,9.125,0.2564939558506012
04-10-1988,9.25,0.0,8700,9.375,9.375,0.2635210454463959
05-10-1988,9.25,9.25,31900,9.5,9.375,0.2635210454463959
06-10-1988,9.25,9.375,5200,9.375,9.25,0.2600075602531433
07-10-1988,9.25,9.25,4900,9.375,9.375,0.2635210454463959
10-10-1988,9.5,9.5,5500,9.625,9.625,0.2705485224723816
11-10-1988,9.5,9.625,6400,9.625,9.5,0.26703473925590515
12-10-1988,9.5,9.5,6200,9.625,9.625,0.2705485224723816
13-10-1988,9.5,9.5,6100,9.5,9.5,0.26703473925590515
14-10-1988,9.5,9.625,25800,9.625,9.625,0.2705485224723816
17-10-1988,9.5,9.625,7300,9.625,9.5,0.26703473925590515
18-10-1988,9.5,9.5,14300,9.625,9.625,0.2705485224723816
19-10-1988,9.5,9.625,10400,9.625,9.5,0.26703473925590515
20-10-1988,9.5,9.5,31000,9.625,9.5,0.26703473925590515
21-10-1988,9.5,9.5,21800,9.625,9.5,0.26703473925590515
24-10-1988,9.5,9.625,7900,9.625,9.5,0.26703473925590515
25-10-1988,9.375,9.375,12900,9.5,9.5,0.269302636384964
26-10-1988,9.375,9.5,14300,9.5,9.375,0.26575905084609985
27-10-1988,9.25,9.375,24400,9.5,9.5,0.269302636384964
28-10-1988,9.375,9.5,9800,9.5,9.5,0.269302636384964
31-10-1988,9.375,9.375,15100,9.5,9.5,0.269302636384964
01-11-1988,9.375,9.5,20600,9.625,9.625,0.2728462219238281
02-11-1988,9.5,9.625,17800,9.75,9.5,0.269302636384964
03-11-1988,9.5,9.625,7500,9.625,9.625,0.2728462219238281
04-11-1988,9.375,9.5,19800,9.625,9.5,0.269302636384964
07-11-1988,9.25,9.375,23900,9.5,9.5,0.269302636384964
08-11-1988,9.25,9.375,6400,9.5,9.375,0.26575905084609985
09-11-1988,9.0,9.25,6000,9.375,9.375,0.26575905084609985
10-11-1988,9.25,9.375,9000,9.375,9.25,0.26221558451652527
11-11-1988,9.25,9.375,7100,9.375,9.375,0.26575905084609985
14-11-1988,9.25,9.25,19800,9.5,9.5,0.269302636384964
15-11-1988,9.25,9.375,32200,9.625,9.375,0.26575905084609985
16-11-1988,9.25,9.5,29400,9.5,9.25,0.26221558451652527
17-11-1988,9.125,9.375,42000,9.375,9.125,0.25867217779159546
18-11-1988,9.125,9.125,4000,9.375,9.375,0.26575905084609985
21-11-1988,9.125,9.375,12900,9.375,9.125,0.25867217779159546
22-11-1988,9.125,9.25,11200,9.25,9.125,0.25867217779159546
23-11-1988,9.0,9.125,7500,9.125,9.125,0.26162514090538025
25-11-1988,9.125,9.25,7500,9.25,9.25,0.2652091979980469
28-11-1988,9.0,9.125,4000,9.125,9.125,0.26162514090538025
29-11-1988,8.875,9.125,27700,9.125,9.0,0.2580412030220032
30-11-1988,9.0,9.0,16500,9.125,9.125,0.26162514090538025
01-12-1988,9.125,9.25,13800,9.25,9.125,0.26162514090538025
02-12-1988,9.125,9.25,800,9.25,9.125,0.26162514090538025
05-12-1988,9.125,9.125,6700,9.25,9.25,0.2652091979980469
06-12-1988,9.125,9.125,10500,9.25,9.125,0.26162514090538025
07-12-1988,8.875,9.125,28800,9.125,9.0,0.2580412030220032
08-12-1988,8.75,9.0,22900,9.0,9.0,0.2580412030220032
09-12-1988,9.0,9.0,28800,9.25,9.25,0.2652091979980469
12-12-1988,9.125,9.125,21300,9.375,9.375,0.2687930166721344
13-12-1988,9.125,9.25,35300,9.375,9.125,0.26162514090538025
14-12-1988,9.25,9.25,17700,9.5,9.375,0.2687930166721344
15-12-1988,9.25,9.5,26400,9.5,9.25,0.2652091979980469
