Date,Low,Open,Volume,High,Close,Adjusted Close
24-10-1997,16.0,18.0,6329200,18.0,17.0,12.775036811828613
27-10-1997,16.0,16.0,1118800,16.4375,16.0,12.023563385009766
28-10-1997,14.75,15.0,380200,16.0,15.8125,11.882660865783691
29-10-1997,15.75,15.9375,353100,16.125,16.0,12.023563385009766
30-10-1997,15.1875,15.375,197000,15.875,15.5,11.647825241088867
31-10-1997,15.125,15.5,117000,16.125,16.125,12.1174955368042
03-11-1997,15.75,16.0,153900,16.4375,16.125,12.1174955368042
04-11-1997,15.625,16.1875,146300,16.1875,16.125,12.1174955368042
05-11-1997,15.9375,16.375,314700,16.5,16.0625,12.070530891418457
06-11-1997,15.0,16.0,266700,16.0,15.3125,11.506924629211426
07-11-1997,14.375,15.0625,258000,15.0625,14.875,11.178156852722168
10-11-1997,14.75,15.0,100500,15.0,14.9375,11.22512149810791
11-11-1997,14.25,14.9375,78500,14.9375,14.625,10.99028491973877
12-11-1997,13.875,14.625,170900,14.625,14.0,10.52061653137207
13-11-1997,13.125,14.0,398000,14.0625,13.125,9.863079071044922
14-11-1997,13.125,13.3125,300000,14.25,13.875,10.42668342590332
17-11-1997,14.0625,14.25,140600,14.875,14.75,11.084219932556152
18-11-1997,14.9375,16.625,962500,16.625,15.0,11.272090911865234
19-11-1997,14.75,15.0,133400,15.125,14.75,11.084219932556152
20-11-1997,14.75,14.8125,281300,15.0,14.875,11.178156852722168
21-11-1997,14.6875,14.8125,181500,15.375,15.125,11.366024017333984
24-11-1997,14.5,14.875,71000,14.875,14.5,10.896350860595703
25-11-1997,14.25,14.625,74600,14.625,14.5,10.896350860595703
26-11-1997,14.5,14.75,122200,14.875,14.875,11.178156852722168
28-11-1997,14.625,15.0,23400,15.0,14.75,11.084219932556152
01-12-1997,14.375,15.0,155300,15.0,14.5,10.896350860595703
02-12-1997,14.625,14.625,235200,15.25,15.25,11.45995807647705
03-12-1997,15.1875,15.625,172200,15.8125,15.375,11.553889274597168
04-12-1997,15.125,15.375,64500,15.5,15.125,11.366024017333984
05-12-1997,14.625,15.25,213500,15.25,14.75,11.084219932556152
08-12-1997,14.8125,14.8125,64200,15.125,15.0625,11.319058418273926
09-12-1997,14.625,15.125,46100,15.125,14.625,10.99028491973877
10-12-1997,13.625,14.6875,114300,14.6875,14.0,10.52061653137207
11-12-1997,13.4375,14.1875,71400,14.1875,13.875,10.42668342590332
12-12-1997,14.1875,14.1875,77200,14.375,14.3125,10.755454063415527
15-12-1997,14.0,14.4375,72100,14.5,14.0,10.52061653137207
16-12-1997,13.75,14.125,75100,14.1875,14.0,10.52061653137207
17-12-1997,13.625,13.9375,119800,14.0,14.0,10.52061653137207
18-12-1997,13.625,13.9375,409000,13.9375,13.6875,10.28577995300293
19-12-1997,13.3125,13.625,80000,13.8125,13.8125,10.379714012145996
22-12-1997,13.8125,13.8125,39300,14.1875,14.0,10.52061653137207
23-12-1997,14.0,14.0,121000,14.1875,14.125,10.614555358886719
24-12-1997,14.125,14.25,33500,14.375,14.25,10.70848560333252
26-12-1997,14.1875,14.1875,27900,14.375,14.375,10.802420616149902
29-12-1997,14.0625,14.375,61200,14.375,14.0625,10.567584037780762
30-12-1997,13.75,14.1875,200100,14.25,14.25,10.70848560333252
31-12-1997,14.375,14.375,195500,14.875,14.625,10.99028491973877
02-01-1998,14.375,14.6875,243900,14.6875,14.375,10.802420616149902
05-01-1998,14.4375,14.5,206500,14.75,14.625,10.99028491973877
06-01-1998,14.125,14.375,166900,14.375,14.1875,10.661519050598145
07-01-1998,14.1875,14.25,66200,14.4375,14.375,10.802420616149902
08-01-1998,14.0,14.4375,75900,14.4375,14.0625,10.567584037780762
09-01-1998,14.0,14.5,176200,14.5,14.0,10.52061653137207
12-01-1998,13.5,13.875,291300,14.875,13.625,10.238815307617188
13-01-1998,13.5625,13.5625,21400,14.0,13.875,10.42668342590332
14-01-1998,13.5,13.875,30500,13.9375,13.75,10.332749366760254
15-01-1998,13.25,13.625,54500,13.625,13.5,10.144881248474121
16-01-1998,13.3125,13.5,72500,13.75,13.625,10.238815307617188
20-01-1998,13.125,13.5,73900,13.5,13.25,9.957013130187988
21-01-1998,12.75,13.1875,267400,13.1875,12.9375,9.72217845916748
22-01-1998,12.375,12.9375,454000,13.0,12.4375,9.346440315246582
23-01-1998,12.125,12.375,204000,12.5,12.125,9.11160659790039
26-01-1998,11.5,12.0625,691900,12.25,11.875,8.923734664916992
27-01-1998,10.5,11.375,185400,11.9375,11.375,8.548003196716309
28-01-1998,11.5,11.5,344700,12.0,11.75,8.829803466796875
29-01-1998,11.8125,12.0,68600,12.75,12.6875,9.534307479858398
30-01-1998,12.75,12.8125,122400,13.5,13.5,10.144881248474121
02-02-1998,13.3125,13.5,50300,13.875,13.375,10.050947189331055
03-02-1998,13.0625,13.25,64200,13.375,13.375,10.050947189331055
04-02-1998,13.125,13.5,41600,13.625,13.625,10.238815307617188
05-02-1998,13.4375,13.625,63300,13.875,13.625,10.238815307617188
06-02-1998,13.625,13.875,46000,14.25,14.0,10.52061653137207
09-02-1998,14.0,14.125,126900,14.25,14.1875,10.661519050598145
10-02-1998,14.125,14.125,154500,14.625,14.625,10.99028491973877
11-02-1998,14.5625,14.625,274900,15.0,15.0,11.272090911865234
12-02-1998,14.75,15.0,82700,15.25,14.75,11.084219932556152
13-02-1998,14.6875,14.6875,36400,15.0,15.0,11.272090911865234
17-02-1998,15.125,15.125,282300,16.1875,15.8125,11.882660865783691
18-02-1998,15.375,15.875,111600,15.875,15.4375,11.600861549377441
19-02-1998,14.9375,15.5,66800,15.5,14.9375,11.22512149810791
20-02-1998,14.9375,14.9375,20300,15.1875,15.0625,11.319058418273926
23-02-1998,14.9375,15.0625,201800,15.625,15.5,11.647825241088867
24-02-1998,15.375,15.625,133900,15.8125,15.75,11.835698127746582
25-02-1998,15.75,15.9375,190900,16.125,15.8125,11.882660865783691
26-02-1998,15.25,15.5625,98100,15.875,15.4375,11.600861549377441
27-02-1998,15.4375,15.5,31900,15.625,15.4375,11.600861549377441
02-03-1998,15.5625,15.5625,96700,15.75,15.625,11.741761207580566
03-03-1998,15.75,15.75,71400,15.875,15.75,11.835698127746582
04-03-1998,15.0,15.75,164600,15.8125,15.0,11.272090911865234
05-03-1998,14.75,15.0,155200,15.0,14.75,11.084219932556152
06-03-1998,15.0,15.0,71100,15.375,15.0625,11.319058418273926
09-03-1998,15.0625,15.0625,27700,15.25,15.25,11.45995807647705
10-03-1998,15.0625,15.125,33200,15.25,15.0625,11.319058418273926
11-03-1998,15.0625,15.0625,50900,15.25,15.25,11.45995807647705
12-03-1998,14.75,15.0625,77200,15.0625,15.0625,11.319058418273926
