Date,Low,Open,Volume,High,Close,Adjusted Close
14-07-1994,14.0,14.125,738900,14.375,14.375,9.006540298461914
15-07-1994,14.0,14.125,106400,14.125,14.0,8.771592140197754
18-07-1994,14.0,14.0,264000,14.125,14.125,8.849906921386719
19-07-1994,14.0,14.125,87100,14.125,14.125,8.849906921386719
20-07-1994,14.0,14.125,73600,14.125,14.0,8.771592140197754
21-07-1994,14.125,14.125,255600,15.125,14.375,9.006540298461914
22-07-1994,14.625,14.625,109100,15.25,15.0,9.398130416870117
25-07-1994,14.875,15.0,149000,15.25,15.25,9.55476188659668
26-07-1994,14.875,15.375,68100,15.375,15.0,9.398130416870117
27-07-1994,15.0,15.125,38100,15.25,15.125,9.476445198059082
28-07-1994,15.125,15.25,60300,15.625,15.625,9.789721488952637
29-07-1994,15.375,15.75,60300,16.25,16.0,10.024669647216797
01-08-1994,16.0,16.25,83500,16.875,16.25,10.181309700012207
02-08-1994,16.375,16.5,108300,16.875,16.75,10.49458122253418
03-08-1994,16.75,17.0,213300,17.0,16.875,10.572894096374512
04-08-1994,16.125,17.0,62000,17.0,16.375,10.259625434875488
05-08-1994,16.25,16.5,9600,16.5,16.5,10.337946891784668
08-08-1994,15.875,16.5,13200,16.5,16.25,10.181309700012207
09-08-1994,15.75,16.375,9100,16.375,15.75,9.868040084838867
10-08-1994,15.875,15.875,25700,16.75,16.75,10.49458122253418
11-08-1994,16.875,17.0,51700,17.25,17.25,10.807852745056152
12-08-1994,17.125,17.375,23300,17.875,17.875,11.199433326721191
15-08-1994,17.375,18.0,24600,18.0,17.5,10.964485168457031
16-08-1994,17.75,17.875,35500,18.5,18.0,11.277758598327637
17-08-1994,17.25,18.0,25900,18.0,17.5,10.964485168457031
18-08-1994,17.5,17.625,12400,18.0,17.75,11.12111759185791
19-08-1994,17.125,17.625,8600,17.625,17.5,10.964485168457031
22-08-1994,16.75,17.5,27000,17.5,17.0,10.651217460632324
23-08-1994,16.75,17.125,7700,17.25,16.75,10.49458122253418
24-08-1994,16.75,16.875,19700,16.875,16.875,10.572894096374512
25-08-1994,16.875,16.875,19500,17.75,17.5,10.964485168457031
26-08-1994,16.75,17.5,12500,17.5,17.0,10.651217460632324
29-08-1994,16.125,16.75,9600,16.875,16.875,10.572894096374512
30-08-1994,16.75,17.0,16200,17.25,17.0,10.651217460632324
31-08-1994,17.125,17.125,64800,17.375,17.375,10.886171340942383
01-09-1994,16.875,17.375,54800,17.375,17.0,10.651217460632324
02-09-1994,16.5,17.0,80300,17.0,16.5,10.337946891784668
06-09-1994,16.25,16.25,12900,16.875,16.875,10.572894096374512
07-09-1994,16.875,17.0,11100,17.375,17.375,10.886171340942383
08-09-1994,17.25,17.25,32400,17.875,17.875,11.199433326721191
09-09-1994,17.625,17.75,13100,17.875,17.875,11.199433326721191
12-09-1994,17.5,17.75,43400,18.125,18.0,11.277758598327637
13-09-1994,18.0,18.0,26500,18.5,18.375,11.512712478637695
14-09-1994,17.875,18.375,44600,18.375,18.375,11.512712478637695
15-09-1994,18.25,18.5,16600,19.0,18.625,11.669344902038574
16-09-1994,18.5,18.5,9800,18.75,18.625,11.669344902038574
19-09-1994,18.125,18.375,15900,18.5,18.375,11.512712478637695
20-09-1994,18.125,18.125,5300,18.375,18.25,11.434391975402832
21-09-1994,18.0,18.25,18900,18.25,18.25,11.434391975402832
22-09-1994,18.125,18.375,9900,18.375,18.125,11.356073379516602
23-09-1994,18.125,18.25,5200,18.375,18.125,11.356073379516602
26-09-1994,18.0,18.0,22300,18.25,18.0,11.277758598327637
27-09-1994,18.125,18.25,34900,18.75,18.625,11.669344902038574
28-09-1994,18.5,18.5,12200,18.875,18.875,11.825980186462402
29-09-1994,18.375,18.75,5100,18.75,18.5,11.591022491455078
30-09-1994,18.375,18.75,5300,18.75,18.625,11.669344902038574
03-10-1994,18.0,18.625,46700,18.75,18.25,11.434391975402832
04-10-1994,18.0,18.25,3500,18.375,18.125,11.356073379516602
05-10-1994,17.875,17.875,27300,18.25,18.0,11.277758598327637
06-10-1994,17.875,17.875,4300,18.25,18.125,11.356073379516602
07-10-1994,18.25,18.25,13200,18.375,18.25,11.434391975402832
10-10-1994,18.125,18.25,21900,18.25,18.125,11.356073379516602
11-10-1994,18.125,18.125,33300,18.5,18.375,11.512712478637695
12-10-1994,18.25,18.5,21800,18.5,18.5,11.591022491455078
13-10-1994,18.25,18.5,18800,18.5,18.25,11.434391975402832
14-10-1994,18.25,18.25,8900,18.5,18.375,11.512712478637695
17-10-1994,18.0,18.25,8100,18.375,18.375,11.512712478637695
18-10-1994,18.125,18.375,3400,18.5,18.5,11.591022491455078
19-10-1994,18.25,18.5,6000,18.5,18.5,11.591022491455078
20-10-1994,18.625,18.625,11500,18.875,18.75,11.747662544250488
21-10-1994,18.5,18.75,3100,18.75,18.625,11.669344902038574
24-10-1994,18.625,18.75,900,18.75,18.625,11.669344902038574
25-10-1994,18.125,18.375,9600,18.75,18.125,11.356073379516602
26-10-1994,18.0,18.25,2400,18.625,18.5,11.591022491455078
27-10-1994,18.375,18.625,4200,18.75,18.75,11.747662544250488
28-10-1994,18.75,18.75,2600,18.875,18.875,11.825980186462402
31-10-1994,18.875,18.875,65200,19.5,19.25,12.060935020446777
01-11-1994,19.0,19.25,86800,19.25,19.125,11.98261833190918
02-11-1994,18.75,19.125,16500,19.125,18.75,11.747662544250488
03-11-1994,18.625,19.0,11100,19.0,18.75,11.747662544250488
04-11-1994,18.75,18.75,4500,18.75,18.75,11.747662544250488
07-11-1994,18.25,18.75,10800,18.875,18.625,11.669344902038574
08-11-1994,18.5,18.625,9600,18.625,18.625,11.669344902038574
09-11-1994,18.5,18.625,2500,18.625,18.5,11.591022491455078
10-11-1994,18.5,18.5,20500,18.875,18.625,11.669344902038574
11-11-1994,17.5,18.625,42200,18.625,18.0,11.277758598327637
14-11-1994,18.125,18.125,13800,18.375,18.375,11.512712478637695
15-11-1994,18.125,18.25,7600,18.5,18.5,11.591022491455078
16-11-1994,18.625,18.625,6800,18.625,18.625,11.669344902038574
17-11-1994,18.125,18.25,7400,18.375,18.125,11.392773628234863
18-11-1994,18.125,18.375,7100,18.75,18.125,11.43061351776123
21-11-1994,17.625,18.375,3400,18.375,17.75,11.194116592407227
22-11-1994,17.0,17.75,16800,18.0,17.0,10.721131324768066
23-11-1994,16.5,17.0,18200,17.25,16.75,10.563464164733887
25-11-1994,16.625,16.625,2400,16.875,16.875,10.642293930053711
28-11-1994,16.75,16.875,14400,16.875,16.875,10.642293930053711
29-11-1994,16.75,16.75,100,16.75,16.75,10.563464164733887
30-11-1994,16.375,16.875,3500,16.875,16.625,10.484630584716797
01-12-1994,15.875,16.375,18800,16.5,15.875,10.01164436340332
02-12-1994,15.375,15.75,7000,15.75,15.375,9.696316719055176
05-12-1994,14.75,15.375,25900,15.375,15.0,9.459815979003906
06-12-1994,14.875,14.875,24300,15.25,15.0,9.459815979003906
07-12-1994,14.25,14.875,84400,14.875,14.375,9.06566047668457
08-12-1994,14.5,14.5,58700,14.75,14.5,9.144493103027344
09-12-1994,14.5,14.5,16300,14.625,14.625,9.223322868347168
12-12-1994,14.75,14.875,14900,15.0,14.75,9.302154541015625
13-12-1994,14.75,14.75,16400,15.25,15.25,9.61748218536377
14-12-1994,15.0,15.25,40600,15.5,15.5,9.775147438049316
15-12-1994,15.375,15.5,12500,15.75,15.75,9.932809829711914
16-12-1994,15.75,15.75,2800,16.0,15.875,10.01164436340332
19-12-1994,15.875,15.875,2100,15.875,15.875,10.01164436340332
20-12-1994,15.625,15.75,4600,16.0,16.0,10.090475082397461
21-12-1994,15.875,16.0,3900,16.0,15.875,10.01164436340332
22-12-1994,15.5,15.75,12000,16.0,15.875,10.01164436340332
23-12-1994,15.75,15.75,14500,16.0,15.875,10.01164436340332
27-12-1994,15.75,15.75,2100,15.875,15.875,10.01164436340332
28-12-1994,15.75,15.75,2700,16.125,16.125,10.169304847717285
29-12-1994,16.25,16.25,8900,16.5,16.25,10.248136520385742
30-12-1994,16.375,16.375,10000,16.5,16.5,10.405804634094238
03-01-1995,16.375,16.5,3300,16.5,16.5,10.405804634094238
04-01-1995,16.5,16.5,4500,16.625,16.625,10.484630584716797
05-01-1995,16.625,16.75,2000,16.75,16.625,10.484630584716797
06-01-1995,16.375,16.5,1600,16.5,16.5,10.405804634094238
09-01-1995,16.375,16.625,58100,16.75,16.5,10.405804634094238
10-01-1995,16.5,16.75,11500,17.0,17.0,10.721131324768066
11-01-1995,17.0,17.0,8400,17.25,17.0,10.721131324768066
12-01-1995,17.0,17.0,9400,17.25,17.125,10.79996109008789
13-01-1995,17.125,17.125,2000,17.375,17.375,10.957624435424805
16-01-1995,17.125,17.125,11600,17.75,17.75,11.194116592407227
17-01-1995,17.375,17.5,2000,17.625,17.375,10.957624435424805
18-01-1995,17.25,17.25,500,17.375,17.375,10.995594024658203
19-01-1995,17.375,17.625,1600,17.625,17.375,10.995594024658203
20-01-1995,17.125,17.25,2500,17.25,17.125,10.837384223937988
23-01-1995,17.0,17.0,6600,17.25,17.125,10.837384223937988
24-01-1995,16.875,17.125,6300,17.125,16.875,10.679174423217773
25-01-1995,16.5,17.0,12400,17.0,16.5,10.441864013671875
26-01-1995,16.75,16.75,3800,17.0,16.875,10.679174423217773
27-01-1995,16.75,16.75,400,16.75,16.75,10.600069999694824
30-01-1995,16.25,16.875,4200,16.875,16.5,10.441864013671875
31-01-1995,16.375,16.375,300,16.375,16.375,10.36275577545166
01-02-1995,16.125,16.375,600,16.375,16.25,10.283651351928711
02-02-1995,16.25,16.375,35200,16.625,16.625,10.520964622497559
03-02-1995,16.375,16.375,2800,16.75,16.625,10.520964622497559
06-02-1995,16.5,16.5,12000,17.0,16.875,10.679174423217773
07-02-1995,16.75,16.875,6800,16.875,16.75,10.600069999694824
08-02-1995,16.25,16.5,1100,16.5,16.25,10.283651351928711
09-02-1995,16.5,16.5,13500,16.5,16.5,10.441864013671875
10-02-1995,16.125,16.375,1400,16.375,16.125,10.204545021057129
13-02-1995,16.25,16.25,1600,16.375,16.375,10.36275577545166
14-02-1995,16.0,16.375,2900,16.375,16.0,10.125439643859863
15-02-1995,15.875,16.0,7900,16.0,16.0,10.125439643859863
16-02-1995,15.625,15.75,1300,15.875,15.875,10.04633617401123
17-02-1995,15.125,15.5,79500,15.5,15.125,9.57170581817627
21-02-1995,15.0,15.125,9100,15.375,15.0,9.492595672607422
22-02-1995,15.0,15.0,11100,15.5,15.5,9.809020042419434
23-02-1995,15.5,15.75,4000,15.875,15.875,10.04633617401123
24-02-1995,15.75,15.875,3600,16.25,16.25,10.283651351928711
27-02-1995,15.75,16.0,2700,16.0,15.75,9.967232704162598
28-02-1995,15.375,16.0,4900,16.0,15.375,9.7299165725708
01-03-1995,15.0,15.375,3400,15.375,15.25,9.650806427001953
02-03-1995,14.625,15.0,3000,15.0,14.625,9.25528335571289
03-03-1995,14.75,14.75,5600,15.25,15.25,9.650806427001953
06-03-1995,14.875,15.25,3200,15.25,14.875,9.413495063781738
07-03-1995,14.875,15.125,3400,15.25,14.875,9.413495063781738
08-03-1995,13.75,14.75,51400,14.875,13.75,8.70154857635498
09-03-1995,14.375,14.5,78600,14.75,14.5,9.176180839538574
10-03-1995,14.625,14.625,75200,15.5,15.5,9.809020042419434
13-03-1995,15.0,15.75,16500,15.75,15.75,9.967232704162598
14-03-1995,15.625,15.625,31300,16.5,16.375,10.36275577545166
15-03-1995,15.875,16.125,9000,16.5,15.875,10.04633617401123
16-03-1995,15.875,16.0,500,16.0,15.875,10.04633617401123
17-03-1995,15.5,16.0,7500,16.0,15.5,9.809020042419434
20-03-1995,15.5,15.5,7300,15.875,15.75,9.967232704162598
21-03-1995,15.25,15.625,900,15.625,15.25,9.650806427001953
22-03-1995,15.25,15.25,11300,15.5,15.375,9.7299165725708
23-03-1995,14.875,15.25,14100,15.25,14.875,9.413495063781738
24-03-1995,14.625,14.625,95600,15.125,15.0,9.492595672607422
27-03-1995,14.75,15.125,2100,15.125,14.75,9.334389686584473
28-03-1995,14.5,14.75,33500,14.875,14.875,9.413495063781738
29-03-1995,14.75,14.875,18800,15.125,15.0,9.492595672607422
30-03-1995,14.875,14.875,700,15.0,14.875,9.413495063781738
31-03-1995,14.75,14.75,1700,15.0,14.875,9.413495063781738
03-04-1995,14.875,14.875,0,14.875,14.875,9.413495063781738
04-04-1995,14.75,14.875,29300,15.0,14.75,9.334389686584473
05-04-1995,14.75,14.75,4000,14.75,14.75,9.334389686584473
06-04-1995,14.625,14.875,12600,14.875,14.75,9.334389686584473
07-04-1995,14.75,14.75,40600,15.375,15.0,9.492595672607422
10-04-1995,14.875,14.875,300,15.0,15.0,9.492595672607422
11-04-1995,14.375,15.25,72800,15.25,14.375,9.097074508666992
12-04-1995,14.0,14.125,43100,14.375,14.375,9.097074508666992
13-04-1995,14.5,14.625,5900,15.0,14.875,9.413495063781738
17-04-1995,14.625,14.625,8200,15.0,14.875,9.413495063781738
18-04-1995,14.625,14.75,7200,14.875,14.625,9.292766571044922
19-04-1995,14.5,14.625,10700,14.75,14.5,9.213343620300293
20-04-1995,14.25,14.5,7100,14.5,14.375,9.133916854858398
21-04-1995,14.25,14.25,2900,14.5,14.25,9.05449104309082
24-04-1995,14.0,14.0,3900,14.125,14.125,8.975066184997559
25-04-1995,14.125,14.125,10500,14.25,14.25,9.05449104309082
26-04-1995,14.125,14.25,9000,14.375,14.375,9.133916854858398
27-04-1995,13.75,14.125,79500,14.125,14.0,8.895639419555664
28-04-1995,13.875,13.875,111900,14.0,13.875,8.816213607788086
01-05-1995,13.875,14.0,81900,14.0,14.0,8.895639419555664
02-05-1995,13.875,14.0,15700,14.0,13.875,8.816213607788086
03-05-1995,13.875,13.875,2400,14.25,14.125,8.975066184997559
04-05-1995,14.125,14.125,11100,14.25,14.125,8.975066184997559
