Date,Low,Open,Volume,High,Close,Adjusted Close
27-03-1991,10.0,10.0,27300,10.5,10.375,2.4909989833831787
28-03-1991,9.125,10.375,7900,10.375,10.125,2.430976152420044
01-04-1991,10.375,10.375,8200,11.0,10.75,2.5810344219207764
02-04-1991,10.5,10.75,3400,10.875,10.625,2.551022529602051
03-04-1991,10.0,10.5,3800,10.5,10.0,2.4009618759155273
04-04-1991,9.875,10.0,6000,10.375,10.125,2.430976152420044
05-04-1991,10.0,10.125,5800,10.375,10.0,2.4009618759155273
08-04-1991,9.875,10.0,1800,10.125,10.125,2.430976152420044
09-04-1991,9.625,10.0,4000,10.0,9.75,2.3409371376037598
10-04-1991,9.5,9.75,2200,9.875,9.625,2.3109264373779297
11-04-1991,9.25,9.625,4400,9.625,9.625,2.3109264373779297
12-04-1991,9.25,9.5,7500,9.5,9.5,2.280914783477783
15-04-1991,9.0,9.25,4100,9.25,9.0,2.1608664989471436
16-04-1991,8.875,9.0,5500,9.125,8.875,2.1308541297912598
17-04-1991,8.875,8.875,3600,9.0,8.875,2.1308541297912598
18-04-1991,8.75,8.875,5800,9.0,9.0,2.1608664989471436
19-04-1991,8.75,9.0,3600,9.0,8.75,2.100842237472534
22-04-1991,8.625,8.75,8900,9.0,8.75,2.100842237472534
23-04-1991,8.75,8.75,8300,8.875,8.75,2.100842237472534
24-04-1991,8.875,8.875,4600,9.25,9.125,2.1908774375915527
25-04-1991,8.875,9.125,5000,9.375,9.0,2.1608664989471436
26-04-1991,9.0,9.0,4800,9.625,9.625,2.3109264373779297
29-04-1991,9.5,9.625,7200,10.0,10.0,2.4009618759155273
30-04-1991,9.875,10.0,3900,10.375,10.375,2.4909989833831787
01-05-1991,10.25,10.375,3100,10.5,10.375,2.4909989833831787
02-05-1991,10.375,10.375,4000,10.625,10.375,2.4909989833831787
03-05-1991,10.5,10.5,8800,11.625,11.625,2.79111909866333
06-05-1991,11.375,11.5,3000,11.5,11.375,2.7310941219329834
07-05-1991,11.125,11.375,8300,11.5,11.375,2.7310941219329834
08-05-1991,11.25,11.375,1100,11.375,11.375,2.7310941219329834
09-05-1991,11.375,11.375,1200,11.375,11.375,2.7310941219329834
10-05-1991,11.375,11.375,4100,11.375,11.375,2.7310941219329834
13-05-1991,10.875,11.25,3900,11.25,11.0,2.6410582065582275
14-05-1991,10.75,11.0,4400,11.0,10.875,2.61104679107666
15-05-1991,10.75,10.875,3900,11.0,10.875,2.61104679107666
16-05-1991,11.0,11.0,1400,11.25,11.25,2.7010834217071533
17-05-1991,11.125,11.25,1200,11.25,11.25,2.7010834217071533
20-05-1991,11.25,11.25,1300,11.375,11.375,2.7310941219329834
21-05-1991,11.25,11.375,2300,11.5,11.25,2.7010834217071533
22-05-1991,11.125,11.25,3000,11.375,11.375,2.7310941219329834
23-05-1991,11.375,11.375,4100,11.75,11.75,2.8211324214935303
24-05-1991,11.625,11.75,800,11.875,11.75,2.8211324214935303
28-05-1991,11.75,11.75,1000,11.75,11.75,2.8211324214935303
29-05-1991,11.625,11.75,1600,12.0,11.875,2.8511431217193604
30-05-1991,11.875,11.875,2100,12.125,11.875,2.8511431217193604
31-05-1991,11.5,11.875,3300,11.875,11.5,2.761106014251709
03-06-1991,11.375,11.5,1600,11.625,11.625,2.79111909866333
04-06-1991,11.375,11.5,2300,11.5,11.375,2.7310941219329834
05-06-1991,11.125,11.375,4600,11.5,11.375,2.7310941219329834
06-06-1991,11.125,11.25,3400,11.25,11.25,2.7010834217071533
07-06-1991,11.125,11.25,1000,11.25,11.25,2.7010834217071533
10-06-1991,11.125,11.25,3500,11.25,11.125,2.6710710525512695
11-06-1991,11.0,11.125,1800,11.25,11.125,2.6710710525512695
12-06-1991,11.125,11.125,1000,11.25,11.125,2.6710710525512695
13-06-1991,11.125,11.125,1800,11.375,11.375,2.7310941219329834
14-06-1991,11.25,11.25,500,11.25,11.25,2.7010834217071533
17-06-1991,11.25,11.25,1200,11.375,11.25,2.7010834217071533
18-06-1991,11.125,11.25,900,11.25,11.25,2.7010834217071533
19-06-1991,11.375,11.375,1900,11.5,11.375,2.7310941219329834
20-06-1991,11.375,11.375,1400,11.5,11.375,2.7310941219329834
21-06-1991,11.375,11.375,2600,11.75,11.75,2.8211324214935303
24-06-1991,11.125,11.25,200,11.25,11.25,2.78157114982605
25-06-1991,11.125,11.125,600,11.125,11.125,2.750664472579956
26-06-1991,10.875,11.125,4100,11.125,10.875,2.688852310180664
27-06-1991,10.875,10.875,1400,10.875,10.875,2.688852310180664
28-06-1991,10.875,10.875,900,10.875,10.875,2.688852310180664
01-07-1991,10.875,10.875,1200,10.875,10.875,2.688852310180664
02-07-1991,10.875,10.875,1400,10.875,10.875,2.688852310180664
03-07-1991,10.75,10.75,2200,10.75,10.75,2.657944440841675
05-07-1991,10.75,10.75,300,10.75,10.75,2.657944440841675
08-07-1991,10.75,10.75,100,10.75,10.75,2.657944440841675
09-07-1991,10.625,10.75,2500,10.75,10.625,2.62703800201416
10-07-1991,10.625,10.625,400,10.625,10.625,2.62703800201416
11-07-1991,10.5,10.625,1700,10.625,10.5,2.596132278442383
12-07-1991,10.625,10.625,2300,10.875,10.75,2.657944440841675
15-07-1991,10.75,10.75,2100,10.875,10.875,2.688852310180664
16-07-1991,10.75,10.75,900,10.75,10.75,2.657944440841675
17-07-1991,10.75,10.75,1600,11.0,10.875,2.688852310180664
18-07-1991,10.75,10.875,2200,10.875,10.75,2.657944440841675
19-07-1991,10.375,10.75,6200,10.75,10.375,2.5652265548706055
22-07-1991,10.125,10.375,8500,10.5,10.125,2.503415107727051
23-07-1991,10.0,10.125,4700,10.5,10.375,2.5652265548706055
24-07-1991,10.25,10.25,1000,10.25,10.25,2.5343198776245117
25-07-1991,10.25,10.25,3900,10.625,10.5,2.596132278442383
26-07-1991,10.375,10.5,1600,10.75,10.75,2.657944440841675
29-07-1991,10.5,10.625,400,10.625,10.5,2.596132278442383
30-07-1991,10.375,10.5,1600,10.625,10.5,2.596132278442383
31-07-1991,10.5,10.5,500,10.625,10.625,2.62703800201416
01-08-1991,10.375,10.5,800,10.5,10.375,2.5652265548706055
02-08-1991,10.25,10.25,1100,10.25,10.25,2.5343198776245117
05-08-1991,10.25,10.25,900,10.375,10.375,2.5652265548706055
06-08-1991,10.25,10.25,500,10.25,10.25,2.5343198776245117
07-08-1991,10.25,10.25,1000,10.25,10.25,2.5343198776245117
08-08-1991,10.125,10.25,2800,10.375,10.125,2.503415107727051
09-08-1991,9.875,10.0,2800,10.0,9.875,2.4416003227233887
12-08-1991,9.875,9.875,3100,10.125,10.0,2.472506523132324
13-08-1991,9.875,10.0,1800,10.125,9.875,2.4416003227233887
14-08-1991,9.875,9.875,1700,10.0,9.875,2.4416003227233887
15-08-1991,9.875,9.875,2000,9.875,9.875,2.4416003227233887
16-08-1991,9.875,9.875,1200,10.25,10.25,2.5343198776245117
19-08-1991,10.125,10.25,2100,10.375,10.125,2.503415107727051
20-08-1991,10.0,10.125,1300,10.125,10.125,2.503415107727051
21-08-1991,10.0,10.125,1800,10.5,10.5,2.596132278442383
22-08-1991,10.625,10.625,2200,10.75,10.75,2.657944440841675
23-08-1991,10.625,10.625,500,10.625,10.625,2.62703800201416
26-08-1991,10.5,10.5,800,10.5,10.5,2.596132278442383
27-08-1991,10.5,10.5,1600,10.875,10.875,2.688852310180664
28-08-1991,10.5,10.75,3400,10.75,10.5,2.596132278442383
29-08-1991,10.5,10.5,700,10.75,10.75,2.657944440841675
30-08-1991,10.625,10.75,1500,10.75,10.75,2.657944440841675
03-09-1991,10.625,10.75,1800,10.875,10.875,2.688852310180664
04-09-1991,10.625,10.875,2500,10.875,10.625,2.62703800201416
05-09-1991,10.5,10.625,900,10.75,10.75,2.657944440841675
06-09-1991,10.625,10.75,2200,11.125,11.125,2.750664472579956
09-09-1991,11.0,11.0,600,11.0,11.0,2.719756603240967
10-09-1991,11.0,11.0,2600,11.0,11.0,2.719756603240967
11-09-1991,10.75,10.875,2100,10.875,10.875,2.688852310180664
12-09-1991,10.875,10.875,1700,10.875,10.875,2.688852310180664
13-09-1991,10.875,10.875,1300,11.125,11.0,2.719756603240967
16-09-1991,10.875,11.0,2300,11.125,11.0,2.719756603240967
17-09-1991,11.0,11.0,2700,11.5,11.375,2.812476634979248
18-09-1991,11.25,11.375,600,11.375,11.375,2.812476634979248
19-09-1991,11.375,11.375,2200,11.75,11.625,2.8742904663085938
20-09-1991,11.375,11.625,3600,11.625,11.375,2.812476634979248
23-09-1991,11.25,11.25,700,11.25,11.25,2.78157114982605
24-09-1991,10.75,11.0,2900,11.0,11.0,2.8045170307159424
25-09-1991,11.0,11.0,1700,11.5,11.5,2.9319941997528076
26-09-1991,11.625,11.625,400,11.625,11.625,2.96386456489563
27-09-1991,11.375,11.5,7000,11.5,11.375,2.900125503540039
30-09-1991,11.125,11.25,500,11.25,11.25,2.8682568073272705
01-10-1991,11.125,11.25,1300,11.25,11.25,2.8682568073272705
02-10-1991,11.375,11.375,2300,11.5,11.5,2.9319941997528076
03-10-1991,11.25,11.375,2100,11.375,11.375,2.900125503540039
04-10-1991,11.125,11.375,3600,11.75,11.625,2.96386456489563
07-10-1991,11.5,11.5,1400,11.5,11.5,2.9319941997528076
08-10-1991,11.5,11.5,1000,11.5,11.5,2.9319941997528076
09-10-1991,11.5,11.5,2600,11.75,11.5,2.9319941997528076
10-10-1991,11.375,11.5,2300,11.75,11.625,2.96386456489563
11-10-1991,11.5,11.625,900,11.625,11.5,2.9319941997528076
14-10-1991,11.625,11.625,600,11.625,11.625,2.96386456489563
15-10-1991,11.75,11.75,4100,11.875,11.875,3.0276036262512207
16-10-1991,12.0,12.0,1800,12.25,12.25,3.123211622238159
17-10-1991,11.875,12.125,900,12.125,11.875,3.0276036262512207
18-10-1991,12.0,12.0,1300,12.25,12.25,3.123211622238159
21-10-1991,12.125,12.25,2500,12.25,12.25,3.123211622238159
22-10-1991,12.0,12.0,1300,12.0,12.0,3.0594735145568848
23-10-1991,11.875,12.0,1800,12.0,12.0,3.0594735145568848
24-10-1991,11.625,11.875,1400,11.875,11.625,2.96386456489563
25-10-1991,11.25,11.5,1400,11.5,11.25,2.8682568073272705
28-10-1991,11.375,11.375,1100,11.5,11.375,2.900125503540039
29-10-1991,11.375,11.375,1300,11.625,11.5,2.9319941997528076
30-10-1991,11.625,11.625,1500,12.0,12.0,3.0594735145568848
31-10-1991,12.125,12.125,2200,12.375,12.375,3.155081272125244
01-11-1991,12.125,12.375,2300,12.375,12.125,3.0913424491882324
04-11-1991,12.125,12.125,1100,12.25,12.25,3.123211622238159
05-11-1991,12.0,12.25,1900,12.25,12.0,3.0594735145568848
06-11-1991,11.75,12.0,4700,12.125,11.875,3.0276036262512207
07-11-1991,11.75,11.875,4700,12.125,12.0,3.0594735145568848
08-11-1991,11.875,12.0,1700,12.125,11.875,3.0276036262512207
11-11-1991,11.75,11.875,3500,11.875,11.75,2.995734691619873
12-11-1991,11.625,11.75,1300,11.75,11.75,2.995734691619873
13-11-1991,11.625,11.75,3700,11.875,11.625,2.96386456489563
14-11-1991,11.5,11.625,600,11.75,11.75,2.995734691619873
15-11-1991,11.625,11.75,1000,11.875,11.875,3.0276036262512207
18-11-1991,11.375,11.75,4600,11.75,11.375,2.900125503540039
19-11-1991,11.25,11.375,900,11.5,11.5,2.9319941997528076
20-11-1991,11.25,11.375,1700,11.375,11.25,2.8682568073272705
21-11-1991,11.25,11.25,800,11.375,11.25,2.8682568073272705
22-11-1991,11.25,11.25,3900,11.5,11.5,2.9319941997528076
25-11-1991,11.25,11.5,2300,11.75,11.25,2.8682568073272705
26-11-1991,11.125,11.25,1400,11.25,11.25,2.8682568073272705
27-11-1991,11.375,11.375,2000,11.75,11.75,2.995734691619873
29-11-1991,11.625,11.625,100,11.625,11.625,2.96386456489563
02-12-1991,11.5,11.625,1100,11.75,11.625,2.96386456489563
03-12-1991,11.5,11.625,5100,12.0,12.0,3.0594735145568848
04-12-1991,11.625,11.875,1800,11.875,11.625,2.96386456489563
05-12-1991,11.75,11.75,1500,11.875,11.75,2.995734691619873
06-12-1991,11.375,11.625,4400,11.625,11.375,2.900125503540039
09-12-1991,11.25,11.375,700,11.375,11.25,2.8682568073272705
10-12-1991,11.25,11.25,1900,11.625,11.625,2.96386456489563
11-12-1991,11.5,11.625,700,11.625,11.625,2.96386456489563
12-12-1991,11.5,11.625,2200,11.875,11.625,2.96386456489563
13-12-1991,11.5,11.5,200,11.5,11.5,2.9319941997528076
16-12-1991,11.5,11.5,4100,11.875,11.625,2.96386456489563
17-12-1991,11.5,11.625,1400,11.75,11.625,2.96386456489563
18-12-1991,11.75,11.75,3100,12.0,12.0,3.0594735145568848
19-12-1991,11.875,12.0,1800,12.0,11.875,3.0276036262512207
20-12-1991,11.75,11.875,1800,12.0,11.875,3.0276036262512207
23-12-1991,11.75,11.875,2500,11.875,11.75,2.995734691619873
24-12-1991,11.125,11.25,1900,11.25,11.25,2.9537267684936523
26-12-1991,11.25,11.25,800,11.5,11.375,2.9865450859069824
27-12-1991,11.5,11.5,600,11.5,11.5,3.019362211227417
30-12-1991,11.25,11.5,1900,11.625,11.25,2.9537267684936523
31-12-1991,11.125,11.25,3100,11.5,11.5,3.019362211227417
02-01-1992,11.75,11.75,400,11.75,11.75,3.0850017070770264
03-01-1992,11.75,11.75,1100,11.75,11.75,3.0850017070770264
06-01-1992,11.625,11.75,2000,11.875,11.75,3.0850017070770264
07-01-1992,11.5,11.75,1700,11.75,11.5,3.019362211227417
08-01-1992,11.5,11.5,3600,11.625,11.5,3.019362211227417
09-01-1992,11.5,11.5,1100,11.5,11.5,3.019362211227417
10-01-1992,11.625,11.625,1200,11.75,11.625,3.0521838665008545
13-01-1992,11.5,11.5,400,11.5,11.5,3.019362211227417
14-01-1992,11.375,11.5,4400,11.75,11.5,3.019362211227417
15-01-1992,11.5,11.5,2600,11.875,11.625,3.0521838665008545
16-01-1992,11.5,11.625,3200,11.625,11.625,3.0521838665008545
17-01-1992,11.625,11.625,1400,11.75,11.75,3.0850017070770264
20-01-1992,11.625,11.75,1400,11.875,11.75,3.0850017070770264
21-01-1992,11.5,11.75,2700,11.75,11.75,3.0850017070770264
22-01-1992,11.625,11.75,3900,11.75,11.75,3.0850017070770264
23-01-1992,11.75,11.75,2000,12.0,11.875,3.1178202629089355
24-01-1992,11.75,11.875,3200,11.875,11.75,3.0850017070770264
27-01-1992,11.625,11.75,1000,11.75,11.75,3.0850017070770264
28-01-1992,11.75,11.75,300,11.75,11.75,3.0850017070770264
29-01-1992,11.75,11.75,400,11.75,11.75,3.0850017070770264
30-01-1992,11.5,11.75,2100,11.75,11.5,3.019362211227417
31-01-1992,11.5,11.5,1900,11.75,11.625,3.0521838665008545
03-02-1992,11.5,11.625,2200,11.75,11.625,3.0521838665008545
04-02-1992,11.5,11.625,1700,11.875,11.875,3.1178202629089355
05-02-1992,11.875,11.875,2500,12.125,12.0,3.150639295578003
06-02-1992,12.0,12.0,2600,12.125,12.0,3.150639295578003
