Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1997,5.5625,5.8125,7436400,5.8125,5.6875,3.7456984519958496
17-10-1997,5.40625,5.65625,3390400,5.75,5.59375,3.6839561462402344
20-10-1997,5.46875,5.5,3068000,5.625,5.53125,3.642794370651245
21-10-1997,5.5,5.5625,2382400,5.6875,5.59375,3.6839561462402344
22-10-1997,5.59375,5.6875,1525200,5.75,5.71875,3.766277551651001
23-10-1997,5.53125,5.6875,1622400,5.6875,5.59375,3.6839561462402344
24-10-1997,5.5625,5.65625,813600,5.71875,5.71875,3.766277551651001
27-10-1997,5.375,5.65625,1507200,5.75,5.421875,3.570760726928711
28-10-1997,4.9375,5.25,2955600,5.6875,5.59375,3.6839561462402344
29-10-1997,5.59375,5.6875,1859200,5.71875,5.65625,3.72511625289917
30-10-1997,5.375,5.53125,856000,5.5625,5.5,3.6222145557403564
31-10-1997,5.4375,5.4375,561600,5.640625,5.5,3.6222145557403564
03-11-1997,5.53125,5.625,1004000,5.84375,5.734375,3.77656888961792
04-11-1997,5.6875,5.75,364000,5.875,5.78125,3.807439088821411
05-11-1997,5.78125,5.8125,324400,6.0625,5.90625,3.8897643089294434
06-11-1997,5.875,5.875,361600,6.25,6.25,4.116150379180908
07-11-1997,6.03125,6.1875,662400,6.625,6.4375,4.239635944366455
10-11-1997,6.15625,6.3125,266800,6.5,6.15625,4.054409503936768
11-11-1997,5.75,5.9375,618000,6.0,6.0,3.951507091522217
12-11-1997,5.5625,6.0,314800,6.0,5.6875,3.7456984519958496
13-11-1997,5.46875,5.5625,500000,5.625,5.5,3.6222145557403564
14-11-1997,5.3125,5.4375,438000,5.5,5.4375,3.58105206489563
17-11-1997,5.5,5.5,284000,5.84375,5.8125,3.8280205726623535
18-11-1997,5.6875,5.875,1429600,5.875,5.71875,3.766277551651001
19-11-1997,5.5625,5.71875,148400,5.8125,5.5625,3.663377523422241
20-11-1997,5.3125,5.625,1268000,5.625,5.5625,3.663377523422241
21-11-1997,5.5,5.5625,640800,5.625,5.53125,3.642794370651245
24-11-1997,5.5,5.5,64400,5.59375,5.53125,3.642794370651245
25-11-1997,5.5,5.5625,326800,5.625,5.515625,3.6325039863586426
26-11-1997,5.234375,5.5,463200,5.53125,5.253905773162842,3.4601399898529053
28-11-1997,5.25,5.28125,212800,5.3125,5.25,3.457566976547241
01-12-1997,5.25,5.25,475200,5.375,5.265625,3.467857599258423
02-12-1997,5.28125,5.375,1280800,5.5,5.34375,3.5193099975585938
03-12-1997,5.34375,5.4375,934400,5.5,5.5,3.6222145557403564
04-12-1997,5.40625,5.5,681600,5.625,5.546875,3.653085470199585
05-12-1997,5.4375,5.5,282800,5.75,5.6875,3.7456984519958496
08-12-1997,5.65625,5.6875,227600,5.75,5.71875,3.766277551651001
09-12-1997,5.59375,5.75,124000,5.8125,5.59375,3.6839561462402344
10-12-1997,5.3125,5.625,269600,5.625,5.375,3.5494086742401123
11-12-1997,5.15625,5.25,400800,5.375,5.3125,3.50813627243042
12-12-1997,5.15625,5.375,412400,5.375,5.15625,3.404956579208374
15-12-1997,5.171875,5.25,289200,5.375,5.21875,3.446228265762329
16-12-1997,5.125,5.125,190800,5.3125,5.21875,3.446228265762329
17-12-1997,5.03125,5.15625,584800,5.1875,5.03125,3.322411060333252
18-12-1997,4.96875,5.09375,272400,5.09375,5.0,3.3017754554748535
19-12-1997,4.9375,5.03125,921600,5.03125,4.9375,3.260502576828003
22-12-1997,4.9375,4.9375,924000,5.3125,5.0625,3.343047618865967
23-12-1997,4.9375,5.1875,2331200,5.1875,5.0,3.3017754554748535
24-12-1997,4.9375,5.03125,50400,5.03125,4.9375,3.260502576828003
26-12-1997,4.96875,5.0,1248400,5.0625,5.0625,3.343047618865967
29-12-1997,5.0,5.0625,430800,5.28125,5.28125,3.4874989986419678
30-12-1997,5.0625,5.0625,662800,5.34375,5.28125,3.4874989986419678
31-12-1997,5.25,5.40625,911600,5.6875,5.59375,3.6938600540161133
02-01-1998,5.53125,5.53125,112400,5.78125,5.78125,3.817676544189453
05-01-1998,5.625,6.03125,629600,6.09375,5.625,3.714495897293091
06-01-1998,5.25,5.59375,915200,5.59375,5.421875,3.580362319946289
07-01-1998,5.421875,5.421875,164800,5.75,5.5625,3.6732263565063477
08-01-1998,5.5,5.5,236000,5.78125,5.75,3.7970409393310547
09-01-1998,5.5,5.65625,140400,5.75,5.5,3.631953716278076
12-01-1998,5.34375,5.375,927200,5.53125,5.34375,3.5287728309631348
13-01-1998,5.3125,5.5,100400,5.5,5.4375,3.590681314468384
14-01-1998,5.34375,5.4375,585600,5.5625,5.359375,3.5390899181365967
15-01-1998,5.34375,5.4375,417200,5.4375,5.375,3.5494086742401123
16-01-1998,5.34375,5.4375,69200,5.59375,5.5625,3.6732263565063477
20-01-1998,5.5,5.5,348800,5.78125,5.78125,3.817676544189453
21-01-1998,5.71875,5.75,141600,5.78125,5.75,3.7970409393310547
22-01-1998,5.65625,5.71875,92400,5.75,5.65625,3.7351341247558594
23-01-1998,5.65625,5.65625,211200,5.875,5.8125,3.838313102722168
26-01-1998,5.625,5.875,497200,5.875,5.71875,3.776404619216919
27-01-1998,5.625,5.75,96400,5.75,5.625,3.714495897293091
28-01-1998,5.625,5.625,154800,5.6875,5.65625,3.7351341247558594
29-01-1998,5.65625,5.65625,108400,5.8125,5.71875,3.776404619216919
30-01-1998,5.65625,5.796875,130400,5.796875,5.71875,3.776404619216919
02-02-1998,5.78125,5.78125,580800,6.15625,6.0,3.9621312618255615
03-02-1998,5.9375,5.9375,159200,6.125,6.0,3.9621312618255615
04-02-1998,5.90625,6.0,557600,6.09375,5.90625,3.9002225399017334
05-02-1998,5.875,5.875,73200,5.96875,5.875,3.8795857429504395
06-02-1998,5.875,5.96875,246800,6.09375,5.9375,3.920858383178711
09-02-1998,5.90625,5.90625,724800,6.1875,6.0625,4.003401756286621
10-02-1998,6.0625,6.0625,401600,6.3125,6.25,4.127216339111328
11-02-1998,5.53125,6.15625,2063200,6.25,5.75,3.7970409393310547
12-02-1998,5.75,5.8125,464400,5.90625,5.90625,3.9002225399017334
13-02-1998,5.8125,5.96875,163200,5.96875,5.9375,3.920858383178711
17-02-1998,5.875,6.03125,697200,6.03125,5.90625,3.9002225399017334
18-02-1998,5.90625,6.0,2071200,6.0,5.90625,3.9002225399017334
19-02-1998,5.84375,6.0,184800,6.0,5.84375,3.8589487075805664
20-02-1998,5.78125,5.84375,89200,5.90625,5.78125,3.817676544189453
23-02-1998,5.71875,5.78125,621600,5.84375,5.71875,3.776404619216919
24-02-1998,5.5,5.71875,417600,5.828125,5.5,3.631953716278076
25-02-1998,5.46875,5.5,201200,5.625,5.59375,3.6938600540161133
26-02-1998,5.46875,5.5625,149200,5.5625,5.46875,3.6113157272338867
27-02-1998,5.46875,5.53125,278000,5.6875,5.6875,3.755769729614258
02-03-1998,5.40625,5.601562976837158,360400,5.6875,5.40625,3.570044994354248
03-03-1998,5.34375,5.5,414000,5.5,5.375,3.5494086742401123
04-03-1998,5.375,5.5,489600,5.5,5.40625,3.570044994354248
05-03-1998,5.34375,5.34375,228000,5.4375,5.40625,3.570044994354248
06-03-1998,5.375,5.375,424400,5.5,5.4375,3.590681314468384
09-03-1998,5.375,5.5,106400,5.5,5.4375,3.590681314468384
10-03-1998,5.375,5.4375,232400,5.4375,5.375,3.559227466583252
