Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,9.125,0.0,41600,9.1875,9.125,2.9627528190612793
18-03-1980,9.09375,0.0,29200,9.125,9.09375,2.9526071548461914
19-03-1980,9.09375,0.0,25600,9.25,9.25,3.0033392906188965
20-03-1980,9.25,0.0,48000,9.40625,9.28125,3.013484239578247
21-03-1980,9.125,0.0,87600,9.34375,9.15625,2.9728996753692627
24-03-1980,9.125,0.0,25600,9.21875,9.125,2.9627528190612793
25-03-1980,9.0625,0.0,72400,9.09375,9.0625,2.942462682723999
26-03-1980,8.84375,0.0,20400,9.0625,8.90625,2.8917293548583984
27-03-1980,8.25,0.0,44800,8.75,8.3125,2.698946952819824
28-03-1980,8.375,0.0,40000,8.5,8.375,2.7192394733428955
31-03-1980,8.1875,0.0,48400,8.4375,8.4375,2.739532232284546
01-04-1980,8.3125,0.0,60000,8.5625,8.5625,2.780118227005005
02-04-1980,8.53125,0.0,42000,8.75,8.71875,2.830850601196289
03-04-1980,8.5,0.0,20800,8.625,8.59375,2.79026460647583
07-04-1980,8.5,0.0,32400,8.6875,8.5,2.7598252296447754
08-04-1980,8.5,0.0,27600,8.6875,8.6875,2.8207039833068848
09-04-1980,8.59375,0.0,18000,8.71875,8.71875,2.830850601196289
10-04-1980,8.8125,0.0,29200,8.9375,8.90625,2.8917293548583984
11-04-1980,8.90625,0.0,28000,9.0625,9.0625,2.942462682723999
14-04-1980,8.875,0.0,29200,9.0625,8.875,2.8815813064575195
15-04-1980,8.625,0.0,25600,8.875,8.6875,2.8207039833068848
16-04-1980,8.5625,0.0,40400,8.6875,8.5625,2.780118227005005
17-04-1980,8.4375,0.0,29200,8.6875,8.6875,2.8207039833068848
18-04-1980,8.65625,0.0,30400,8.875,8.75,2.8409948348999023
21-04-1980,8.75,0.0,8800,8.875,8.75,2.8409948348999023
22-04-1980,8.75,0.0,26400,9.03125,9.03125,2.932314157485962
23-04-1980,9.0,0.0,5600,9.125,9.0625,2.942462682723999
24-04-1980,9.0,0.0,86800,9.25,9.21875,2.9931931495666504
25-04-1980,9.15625,0.0,4800,9.21875,9.21875,2.9931931495666504
28-04-1980,9.0,0.0,15200,9.15625,9.0625,2.942462682723999
29-04-1980,9.0,0.0,17600,9.1875,9.09375,2.9526071548461914
30-04-1980,9.03125,0.0,29600,9.15625,9.09375,2.9526071548461914
01-05-1980,8.90625,0.0,19200,9.15625,8.90625,2.8917293548583984
02-05-1980,8.90625,0.0,83200,9.0625,9.0,2.9221670627593994
05-05-1980,8.9375,0.0,79600,9.0,9.0,2.9221670627593994
06-05-1980,9.03125,0.0,79200,9.25,9.25,3.0033392906188965
07-05-1980,9.34375,0.0,173600,9.65625,9.5625,3.104801893234253
08-05-1980,9.3125,0.0,112400,9.59375,9.40625,3.054070234298706
09-05-1980,9.09375,0.0,34400,9.40625,9.09375,2.9526071548461914
12-05-1980,9.0625,0.0,12800,9.1875,9.125,2.9627528190612793
13-05-1980,9.0625,0.0,34800,9.21875,9.0625,2.942462682723999
14-05-1980,9.03125,0.0,48400,9.28125,9.25,3.0033392906188965
15-05-1980,9.21875,0.0,26400,9.25,9.25,3.0033392906188965
16-05-1980,9.125,0.0,30800,9.25,9.21875,2.9931931495666504
19-05-1980,9.15625,0.0,20800,9.21875,9.15625,2.9728996753692627
20-05-1980,9.21875,0.0,65600,9.25,9.21875,2.9931931495666504
21-05-1980,9.1875,0.0,47200,9.3125,9.21875,2.9931931495666504
22-05-1980,9.21875,0.0,32800,9.3125,9.28125,3.013484239578247
